0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2.56030411662542,3.27362769669681,3.93745782284475,2.55123187908348,2.89487229518284,1.93171040611663,2.14735786218334,1.31519444677439,2.85666202521545,2.69423162672035,2.29987386977463,2.8891832325336,2.89956902496364,3.46817813397789,2.56030411662542,3.27362769669681,3.93745782284475,2.55123187908348,2.89487229518284,1.93171040611663,2.14735786218334,1.31519444677439,2.85666202521545,2.69423162672035,2.29987386977463,2.8891832325336,2.89956902496364,3.46817813397789
0.903636747044265,1.15539801059887,1.10741001267509,0.402826086171075,0.921095730285449,0.909040191113709,0.644207358655003,0.851008171442255,0.745216180490988,0.754384855481699,0.479140389536382,0.797016064147201,0.699895971542948,0.198181607655879,0.903636747044265,1.15539801059887,1.10741001267509,0.402826086171075,0.921095730285449,0.909040191113709,0.644207358655003,0.851008171442255,0.745216180490988,0.754384855481699,0.479140389536382,0.797016064147201,0.699895971542948,0.198181607655879
1.00757618508457,1.28829590383677,1.31710737031779,0.898321084184323,0.880322881057522,0.456120518428533,0.287322530855518,0.931641468096194,1.32949365533603,0.432594937248057,0.512882670489648,0.533214972492846,0.936480525303945,0.530345147248128,1.00757618508457,1.28829590383677,1.31710737031779,0.898321084184323,0.880322881057522,0.456120518428533,0.287322530855518,0.931641468096194,1.32949365533603,0.432594937248057,0.512882670489648,0.533214972492846,0.936480525303945,0.530345147248128
5.13099486252721,6.05587922796651,4.83696327375325,4.22272862744852,5.17265582524833,3.7223628515432,3.37653512122622,4.25770859442583,3.90596067015966,3.53037247639219,4.26930609159314,4.4385549779232,3.27537523628473,2.7267055674033,5.13099486252721,6.05587922796651,4.83696327375325,4.22272862744852,5.17265582524833,3.7223628515432,3.37653512122622,4.25770859442583,3.90596067015966,3.53037247639219,4.26930609159314,4.4385549779232,3.27537523628473,2.7267055674033
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
121.700635791684,129.819870849518,135.342700277339,112.807481882366,109.944903434244,87.6594027665825,82.3369445349216,71.9022676287574,87.4282235847108,87.9488092703148,76.2295041425051,77.7690825242427,86.631701882119,88.351987196225,121.700635791684,129.819870849518,135.342700277339,112.807481882366,109.944903434244,87.6594027665825,82.3369445349216,71.9022676287574,87.4282235847108,87.9488092703148,76.2295041425051,77.7690825242427,86.631701882119,88.351987196225
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9.33645439349596,11.6642920787732,10.6557758795386,9.15012180792082,6.41374966791896,5.37726140447088,8.63756649421196,8.56692478259315,7.75841502976919,6.57889087630544,4.89761434285756,5.84610786777959,6.19833151812986,6.0022125755803,9.33645439349596,11.6642920787732,10.6557758795386,9.15012180792082,6.41374966791896,5.37726140447088,8.63756649421196,8.56692478259315,7.75841502976919,6.57889087630544,4.89761434285756,5.84610786777959,6.19833151812986,6.0022125755803
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
