SystematicName	StandardName	Aliases	Timepoint1	Timepoint2	Timepoint3	Timepoint4	Timepoint5	Timepoint6	Timepoint7	Timepoint8	Timepoint9	Timepoint10	Timepoint11	Timepoint12	Timepoint13	Timepoint14	Timepoint15
YFR008W	FAR7	-	941.3798177	558.3302337	398.467253	443.3941327	414.1050357	342.0202076	387.2824145	455.2536041	450.4644188	467.5114915	385.5455351	445.2760783	483.3269923	477.7449715	511.5556807
YDR284C	DPP1	ZRG1	5171.62024	3366.508271	2686.507547	2496.402187	2866.388993	2991.908925	2750.750932	2773.932516	3005.795808	3025.632	2889.014074	3044.962984	2871.432197	2830.493268	2917.821191
YFL013C	IES1	-	1901.625024	1315.29876	1771.549756	1320.044934	1271.60733	1317.606228	1327.952439	1229.076109	1307.376651	1306.841547	1300.152481	1214.091917	1255.734444	1176.514754	1165.324431
YKL051W	SFK1	-	5348.540282	6436.414049	3551.537815	4431.780087	3875.174596	3683.307051	3898.704688	3682.921493	3256.262029	3625.929962	3459.980836	3272.64838	3191.278581	2637.277092	2737.867675
YPR174C	-	-	930.8760702	1126.21067	2455.251114	3128.322266	3634.768609	2479.320143	1405.255165	1273.009801	2072.480136	2181.083426	2244.369528	2035.655053	1900.204903	1698.920064	1781.428667
YJL143W	TIM17	SMS1|MPI2|MIM17	5712.693717	6802.383607	6190.879468	8221.697947	8786.829999	8946.244802	8774.617997	8382.112718	8512.459877	9027.623607	8960.715043	8950.551054	9242.559746	8585.121504	9079.591741
YMR091C	NPL6	RSC7	2578.558727	2700.469983	2653.624515	3021.112143	3030.785129	2846.283486	2877.640948	3093.056557	3243.940502	3000.478407	3125.210716	2955.501596	3156.918713	3004.506335	3125.234589
YGR057C	LST7	-	920.2309098	1414.196679	1330.970116	1703.912429	1597.689769	1311.108856	1381.964815	1546.817418	1356.667026	1480.420636	1443.881103	1476.805799	1544.403084	1521.737939	1593.114507
YKL194C	MST1	-	910.6740191	614.8406888	466.9336022	559.3208621	597.2660611	450.4289476	571.4784375	681.3231128	756.5519878	665.579185	595.3371964	583.0621451	678.3547331	677.4858957	727.2521819
YLR308W	CDA2	-	389.7096719	415.317733	429.0843933	536.1166213	504.6473762	658.8784681	678.6981612	580.9665749	488.5367792	571.3424547	562.1132769	529.2206252	493.3230071	632.7144658	604.4224931
