minutes	percent of budded cells
30	0
38	0
46	0.005
54	0.00483091787439613
62	0.00956937799043062
70	0.0184331797235023
78	0.0197044334975369
86	0.0460829493087558
94	0.273170731707317
102	0.425
110	0.594470046082949
118	0.732394366197183
126	0.827004219409283
134	0.924528301886793
142	0.943965517241379
150	0.908653846153846
158	0.748878923766816
166	0.616071428571429
174	0.427860696517413
182	0.41025641025641
190	0.502463054187192
198	0.545454545454545
206	0.568807339449541
214	0.640394088669951
222	0.642857142857143
230	0.66030534351145
238	0.671296296296296
246	0.623188405797101
254	0.598214285714286
262	0.587755102040816
270	0.577114427860697
278	0.581395348837209
