SystematicName	StandardName	Aliases	Timepoint1	Timepoint2	Timepoint3	Timepoint4	Timepoint5	Timepoint6	Timepoint7	Timepoint8	Timepoint9	Timepoint10	Timepoint11	Timepoint12	Timepoint13	Timepoint14	Timepoint15
byClock	-	-	38	54	70	86	102	118	134	150	166	182	198	214	230	246	262
YPR161C	SGV1	BUR1	1820.315445	2017.851231	2276.083825	1802.868226	1547.387226	1647.870561	1619.021013	1722.094847	1879.54011	1777.860259	1819.320129	1745.685012	1536.698919	1733.086552	1654.163375
YOL138C	RTC1	-	1429.277291	1536.497328	1814.543572	1519.92597	1542.055589	1474.98489	1623.604248	1712.03259	1719.534836	1560.919468	1463.323471	1696.572804	1609.746146	1496.678829	1500.659994
YDR395W	SXM1	KAP108	2809.408836	4689.227452	5282.139927	5707.033788	5826.929406	5814.01343	5594.76219	5499.282095	5402.702835	5453.498623	5997.038725	5671.455981	5392.520661	5619.961731	5444.393439
YGR129W	SYF2	NTC31	1468.979314	1430.50615	1150.238955	826.7689287	672.6440029	826.5588162	906.9015594	918.8440628	979.6819289	935.3389316	917.0736556	910.9026698	814.190228	820.6785264	828.1000205
YPR165W	RHO1	-	12609.64953	9847.525553	10078.41613	9938.878556	10957.55455	12313.3181	11598.89951	10802.16378	9816.732927	9361.306301	10720.41674	10799.5909	10566.14477	10280.7587	10377.21928
YPR098C	-	-	8174.547213	6426.509621	4484.97558	3169.025216	2702.7503	2806.226006	3041.345928	3356.913555	3828.648626	3590.913905	3906.930517	4222.550126	4119.529449	4035.693363	4341.701823
YPL015C	HST2	-	1830.298388	1406.1913	1761.820474	2539.94572	3107.58094	2621.147256	2112.944292	2196.273834	2725.123853	2768.576708	2699.20747	2632.498893	2601.988906	2483.057774	2615.406053
YCL050C	APA1	DTP1	7113.060338	6183.148364	6093.18312	6045.44015	6172.290869	7108.622743	6892.437113	6645.417071	7065.812225	7215.329673	7539.944762	7220.207907	6880.590367	6991.422297	7062.181235
YLR031W	-	-	556.6453081	292.1468513	220.4440082	169.5240129	196.3665957	194.5156964	203.2251153	175.8512981	176.482257	179.0936717	199.0038197	196.3208264	173.2166784	185.8807042	186.5203393
YIL014C-A	-	YIL015C-A	188.6427146	227.6661976	233.3995878	267.7100477	234.4687422	232.7596817	216.5554837	214.6528495	215.4484345	208.3859616	216.5337387	206.7771639	223.7284225	193.3630481	209.94639
YMR193W	MRPL24	MRPL14	990.2982391	1016.630147	1066.148991	935.8296995	979.1888305	1148.413914	1060.607342	1022.419937	1191.217157	1135.881853	1161.14928	1006.148068	1090.103197	978.1442113	1028.550347
YGR053C	-	-	420.9813816	246.1299641	234.2492217	195.1914195	249.8712004	223.4949043	196.0131275	223.099449	253.0885869	256.4685104	257.8144931	233.2574431	230.3789805	217.8711078	246.5681828
YCR101C	-	-	281.7492238	269.0410367	265.1570693	264.1484602	284.8021858	251.9743277	251.8817259	255.3791307	261.2741098	264.6137974	278.9490699	249.9616007	254.5930554	265.2554303	271.4302151
YER087C-B	SBH1	YER087C-A|SEB1	6293.243225	6567.612697	7475.871854	8711.149027	9324.399205	10539.17306	10668.94296	9666.354173	9355.232827	9495.934855	9692.227867	10622.21423	10474.50163	10276.40627	10180.90073
YOR280C	FSH3	-	2934.347814	2812.339961	2939.600861	2676.700906	2640.848912	2409.016514	2011.540465	1763.876462	1929.368567	1901.795583	1877.381127	1760.737046	1583.740553	1647.545464	1709.717608
YGR097W	ASK10	-	2622.003022	1955.069445	2161.930849	2005.159963	2166.090711	2320.649484	2206.120826	2260.198808	2479.273849	2484.21543	2552.955487	2699.227306	2733.305223	2729.377495	2739.256153
YKL025C	PAN3	ECM35	4863.662023	3029.20539	3033.507826	2613.652868	2798.607362	3310.145188	3248.121486	3164.029788	3452.85769	3157.791143	3257.898074	3064.328218	3078.886129	3352.036333	3303.689121
YKR011C	-	TOS5	4664.987418	1231.573566	745.0469206	707.6551622	674.5266532	861.975379	994.5663683	1016.475567	1088.265849	1055.794445	1095.484419	1146.941014	1281.705815	1240.922857	1208.132817
YEL004W	YEA4	-	1522.170744	1175.976566	1240.878454	1236.155613	1145.399775	1040.451131	920.4637643	1096.643801	1285.314727	1140.050616	1244.386509	1085.169942	1038.846814	1071.954599	1083.986081
YJL200C	ACO2	-	1038.064098	2307.5137	5732.769144	8973.383332	9351.831512	7403.78804	5691.65751	4682.478089	4017.306939	3795.838875	4099.937243	4376.663331	4528.800209	4600.157444	4444.4231
YLL027W	ISA1	-	2640.496192	1960.021609	2968.206259	3027.004088	2552.747186	2636.773414	2422.621323	2385.453137	2344.658648	2027.435954	2069.01058	2055.867211	1899.859733	1831.444337	1854.016289
