                 mean         2.5%        97.5%     accept. rate
       mu0     -26.2480     -26.5696     -25.8110       0.2250
     delta      23.5251      22.9771      24.1821       0.4100
    sigma0      17.7152      17.5464      17.8330       0.2950
    sigmav       0.0829       0.0808       0.0860       0.3250
    lambda      74.5003      74.1180      74.9538       0.2850
    gamma1       0.0607       0.0572       0.0635       0.2850
    gamma2       0.4324       0.4300       0.4349       0.2850
      mua1       8.2406       8.2398       8.2413       1.0000
   sigmaa1       0.0013       0.0007       0.0027       1.0000
      mua2       1.0088       1.0017       1.0198       1.0000
   sigmaa2       0.0164       0.0094       0.0335       1.0000
       mut      -2.1972      -2.2130      -2.1832       1.0000
    sigmat       0.0325       0.0182       0.0559       1.0000
       a10       8.3032       8.3018       8.3048       0.3600
       a11       8.3237       8.3212       8.3258       0.4800
       a12       8.2990       8.2961       8.3014       0.3350
       a13       8.2413       8.2390       8.2437       0.2700
       a14       8.2352       8.2323       8.2382       0.2650
       a15       8.2389       8.2354       8.2410       0.2750
       a16       8.2415       8.2387       8.2438       0.3900
       a17       8.2759       8.2734       8.2786       0.3800
       a18       8.2540       8.2517       8.2568       0.4150
       a19       8.2149       8.2112       8.2179       0.3450
      a110       8.2153       8.2124       8.2183       0.4100
      a111       8.2263       8.2237       8.2293       0.3000
      a112       8.2461       8.2428       8.2492       0.3050
      a113       8.2316       8.2286       8.2333       0.2900
      a114       8.2046       8.2032       8.2070       0.3050
      a115       8.1968       8.1945       8.1994       0.3200
      a116       8.2062       8.2031       8.2088       0.2550
      a117       8.2134       8.2092       8.2161       0.3350
      a118       8.2133       8.2109       8.2157       0.4400
      a119       8.2158       8.2133       8.2180       0.3000
       a20       1.4947       1.4792       1.4999       0.2400
       a21       0.8746       0.8488       0.8925       0.3700
       a22       0.7444       0.7372       0.7530       0.3850
       a23       1.0041       1.0001       1.0073       0.4550
       a24       1.0304       1.0270       1.0339       0.3900
       a25       1.0191       1.0173       1.0229       0.3550
       a26       1.0366       1.0340       1.0398       0.4000
       a27       0.9731       0.9689       0.9770       0.5500
       a28       0.9599       0.9566       0.9638       0.5050
       a29       1.0032       0.9993       1.0069       0.2800
      a210       1.0141       1.0111       1.0177       0.3000
      a211       1.0108       1.0071       1.0136       0.2850
      a212       0.9925       0.9886       0.9955       0.3100
      a213       0.9869       0.9848       0.9905       0.3150
      a214       1.0147       1.0114       1.0179       0.4400
      a215       1.0222       1.0190       1.0243       0.2750
      a216       1.0283       1.0254       1.0317       0.2750
      a217       1.0159       1.0125       1.0193       0.3450
      a218       0.9986       0.9953       1.0015       0.2900
      a219       0.9905       0.9879       0.9932       0.2000
      tau0      -2.1403      -2.1470      -2.1320       0.2950
      tau1      -2.0015      -2.0104      -1.9917       0.4000
      tau2      -1.9315      -1.9447      -1.9181       0.3650
      tau3      -2.1999      -2.2173      -2.1815       0.4100
      tau4      -2.3162      -2.3272      -2.3015       0.4150
      tau5      -2.3345      -2.3426      -2.3239       0.5050
      tau6      -2.3078      -2.3163      -2.2988       0.2900
      tau7      -2.0402      -2.0544      -2.0233       0.3750
      tau8      -2.1015      -2.1146      -2.0865       0.3000
      tau9      -2.2438      -2.2587      -2.2290       0.3050
     tau10      -2.2765      -2.2886      -2.2670       0.2900
     tau11      -2.2921      -2.3012      -2.2809       0.3100
     tau12      -2.2444      -2.2634      -2.2276       0.3350
     tau13      -2.2441      -2.2557      -2.2289       0.3650
     tau14      -2.2977      -2.3088      -2.2818       0.3300
     tau15      -2.3184      -2.3337      -2.3058       0.2400
     tau16      -2.3386      -2.3544      -2.3293       0.2650
     tau17      -2.3216      -2.3316      -2.3090       0.2450
     tau18      -2.3004      -2.3130      -2.2882       0.2000
     tau19      -2.2749      -2.2920      -2.2628       0.3550
      amix       0.0003       0.0000       0.0005       0.3500
    halted       0.2715       0.2658       0.2781       0.2700
 posterior-5440706.6297-5440716.2004-5440695.2850
