orf_name,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140
YAL067W-A,1.0123400986212625,1.0642195592064168,1.1452655119145503,1.2875488292743713,1.2725432180146374,1.2056934759839908,1.2101045368451868,1.2084882873746372,1.2410008918592637,1.2716620701953496,1.267303551979175,1.222363069930408,1.195935102314805,1.2000647418674077,1.2251261813646193
YAL067C,1.0123400986212627,1.0642195592064168,1.1452655119145503,1.2875488292743715,1.2725432180146374,1.2056934759839908,1.2101045368451868,1.2084882873746372,1.2410008918592634,1.2716620701953494,1.2673035519791747,1.2223630699304082,1.1959351023148048,1.2000647418674077,1.2251261813646193
YAL064C-A,1.011917003055285,1.0611510905545736,1.1321338744409215,1.259544453374345,1.2487547775229564,1.19701701277161,1.207295495817789,1.2036220548193355,1.2287936043927066,1.2513433798581899,1.2456033742498134,1.2067957819884423,1.185470459506936,1.1899131175083677,1.2120727997668153
YAL064W,1.0115166425836897,1.058558869775907,1.1222407368148077,1.2405775080487056,1.2340603901474276,1.1920168518056535,1.2054928616640426,1.1999296886007809,1.2199364640542396,1.237350936897195,1.231276565330299,1.1967632500168293,1.1785940352921622,1.1829385984256164,1.2030277909613336
YAL063C-A,1.01151664258369,1.0585588697759072,1.1222407368148082,1.2405775080487056,1.2340603901474276,1.1920168518056538,1.2054928616640426,1.1999296886007806,1.2199364640542396,1.237350936897195,1.2312765653302988,1.1967632500168288,1.1785940352921624,1.1829385984256164,1.2030277909613338
YAL063C,1.0098916785770211,1.0496854180556274,1.0935609657292646,1.193227562294854,1.2016966936538946,1.1819014885272918,1.2008900690949915,1.1888392053141992,1.1952594357346227,1.2011268914200046,1.1962551776124788,1.1729074482591242,1.1615844383562448,1.1646217805155297,1.1791773259431946
YAL062W,1.0094222969315896,1.0474313785950358,1.0871758845306063,1.1839195779276275,1.1959898502587833,1.1802336111336247,1.1999048462607946,1.1862637724950904,1.189893406353893,1.1937159005313822,1.1894248053934997,1.1683425367208922,1.1581875322227164,1.1607862105426623,1.1741913100910442
YAL061W,1.008891540393677,1.0449973339149652,1.080588429084539,1.1747083783997447,1.1905380923414934,1.178667932088552,1.198883741258388,1.1835586204827415,1.1843868589134723,1.1862642284179503,1.1826626323437799,1.1638441740348646,1.1547843060442144,1.1568874379627758,1.169132971772351
YAL060W,1.0094222969315898,1.0474313785950358,1.087175884530606,1.1839195779276275,1.195989850258783,1.1802336111336245,1.199904846260795,1.1862637724950909,1.189893406353893,1.1937159005313824,1.1894248053934995,1.1683425367208922,1.1581875322227166,1.160786210542662,1.1741913100910437
YAL059W,1.0094222969315898,1.0474313785950358,1.0871758845306065,1.1839195779276277,1.1959898502587831,1.1802336111336247,1.1999048462607949,1.1862637724950904,1.1898934063538928,1.1937159005313822,1.1894248053935,1.1683425367208917,1.1581875322227166,1.160786210542662,1.1741913100910437
YAL058W,1.0098916785770211,1.0496854180556277,1.0935609657292644,1.193227562294854,1.2016966936538946,1.1819014885272916,1.2008900690949913,1.1888392053141992,1.1952594357346227,1.2011268914200044,1.1962551776124788,1.1729074482591244,1.1615844383562446,1.16462178051553,1.1791773259431944
YAL056W,1.0103058370502427,1.0517680796203295,1.0997365847058742,1.202614454327358,1.2076597083727454,1.1836786113253015,1.2018456158649096,1.1912893504762219,1.200483338589295,1.2084908052255412,1.2031496021747172,1.1775401170652608,1.1649785551425305,1.1683965935882732,1.1840910840813677
YAL055W,1.0103058370502422,1.0517680796203295,1.0997365847058742,1.2026144543273583,1.2076597083727456,1.1836786113253013,1.2018456158649096,1.1912893504762219,1.2004833385892948,1.2084908052255416,1.2031496021747168,1.177540117065261,1.1649785551425305,1.1683965935882732,1.1840910840813677
YAL054C,1.011271263861159,1.0570746532334685,1.1169514904399354,1.2310615262077143,1.2270810786946178,1.189734187463967,1.2045951674933522,1.1979338966773365,1.2152903646261943,1.2302366201916022,1.2241713222485984,1.1918522311306785,1.1751775251315775,1.1793811628606237,1.1984001997585347
YAL053W,1.011271263861159,1.0570746532334685,1.1169514904399356,1.231061526207714,1.227081078694618,1.189734187463967,1.2045951674933524,1.1979338966773367,1.2152903646261943,1.2302366201916017,1.2241713222485984,1.1918522311306785,1.175177525131578,1.1793811628606237,1.1984001997585343
YAL051W,1.01151664258369,1.0585588697759074,1.122240736814808,1.2405775080487056,1.2340603901474276,1.1920168518056538,1.2054928616640428,1.1999296886007809,1.2199364640542396,1.2373509368971949,1.2312765653302988,1.196763250016829,1.1785940352921622,1.182938598425616,1.2030277909613338
YAL049C,1.0115166425836897,1.0585588697759072,1.1222407368148084,1.2405775080487058,1.2340603901474274,1.1920168518056535,1.2054928616640426,1.1999296886007806,1.2199364640542396,1.237350936897195,1.231276565330299,1.196763250016829,1.1785940352921622,1.1829385984256164,1.2030277909613336
YAL048C,1.011271263861159,1.0570746532334685,1.1169514904399354,1.2310615262077145,1.227081078694618,1.1897341874639673,1.204595167493352,1.1979338966773365,1.2152903646261943,1.2302366201916015,1.2241713222485986,1.1918522311306787,1.1751775251315777,1.1793811628606237,1.1984001997585343
YAL047C,1.011271263861159,1.0570746532334685,1.1169514904399354,1.2310615262077143,1.2270810786946178,1.1897341874639673,1.2045951674933524,1.1979338966773363,1.2152903646261943,1.2302366201916017,1.2241713222485986,1.1918522311306785,1.1751775251315772,1.1793811628606239,1.1984001997585345
