orf_name,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140
YAL067W-A,1.0144872543941665,1.0719000742262506,1.1623811442693697,1.3019180498352534,1.2725916306404035,1.203591623178635,1.2115262398726747,1.214691218097638,1.2527714420666718,1.2841889286806412,1.2742621462006207,1.2250316912005896,1.199136004984396,1.2058387572014906,1.2332632643256363
YAL067C,1.0144872543941665,1.0719000742262506,1.1623811442693697,1.3019180498352534,1.2725916306404033,1.2035916231786346,1.211526239872675,1.214691218097638,1.2527714420666716,1.2841889286806412,1.2742621462006205,1.2250316912005899,1.199136004984396,1.2058387572014908,1.233263264325636
YAL064C-A,1.013943007039202,1.0682962110247687,1.1482062348426685,1.2742724186577281,1.2515583306476084,1.1966582872188951,1.2090728213865247,1.2096497370481814,1.2402920192140134,1.2641769928490858,1.2539778220937268,1.2110916160419836,1.1896626832607529,1.1962078011529762,1.220651889252854
YAL064W,1.0134423505656427,1.0653198272923832,1.1377031518522343,1.2557482068561185,1.2386349112548063,1.1926563467542661,1.207445958578768,1.2058478820125518,1.2313178540314962,1.2504797701128392,1.2406302739665251,1.2021054432161329,1.1834093820996763,1.1895811073915685,1.211933391946284
YAL063C-A,1.013442350565643,1.0653198272923827,1.1377031518522343,1.2557482068561185,1.238634911254806,1.1926563467542666,1.207445958578768,1.2058478820125518,1.2313178540314962,1.2504797701128387,1.240630273966525,1.202105443216133,1.1834093820996763,1.1895811073915687,1.2119333919462838
YAL063C,1.010941604650334,1.0529834289947324,1.1013606543074865,1.2011841028210717,1.2053353246521203,1.1831529866957349,1.2021774748725151,1.191968104123898,1.2012772494731072,1.2081196298274688,1.2017877548461158,1.1765965423827767,1.1647155346575182,1.168515728977127,1.1842477572967807
YAL062W,1.009641348923739,1.047537266932479,1.0877836434645225,1.1837569174910707,1.1960511957331041,1.1806680533774647,1.2001580679109425,1.186416454802652,1.1902564707194503,1.1937227383854083,1.1893381410605726,1.1685542845701957,1.158430285602717,1.161044053517972,1.1745066210848054
YAL061W,1.0096413489237388,1.047537266932479,1.0877836434645227,1.1837569174910707,1.196051195733104,1.1806680533774645,1.2001580679109425,1.1864164548026517,1.19025647071945,1.1937227383854085,1.1893381410605728,1.168554284570196,1.158430285602717,1.161044053517972,1.1745066210848052
YAL060W,1.01032762949544,1.0503524299230333,1.0946554399618182,1.1924065229658947,1.2005825774667014,1.1818747519750459,1.2011903234053605,1.1892544942286607,1.1958282988904965,1.2009326831571376,1.1955287109627664,1.1725485540579228,1.1615801267477892,1.1648106889010486,1.1794096551967326
YAL059W,1.0103276294954402,1.0503524299230333,1.0946554399618182,1.192406522965895,1.2005825774667014,1.181874751975046,1.2011903234053602,1.1892544942286605,1.1958282988904962,1.2009326831571374,1.1955287109627664,1.1725485540579228,1.1615801267477899,1.1648106889010486,1.1794096551967328
YAL058W,1.010941604650334,1.0529834289947326,1.1013606543074865,1.2011841028210715,1.2053353246521203,1.1831529866957349,1.2021774748725151,1.191968104123898,1.2012772494731072,1.2081196298274686,1.2017877548461158,1.1765965423827769,1.1647155346575184,1.1685157289771277,1.1842477572967804
YAL056W,1.0119786793176455,1.057723839173413,1.1142442333424467,1.2190748410732706,1.215520485439573,1.1859487849558952,1.2040382240991307,1.1970383883945281,1.2118038149823056,1.2224091201891483,1.214505483408588,1.184863758274522,1.170958537750665,1.1757524360101996,1.1937334892168245
YAL055W,1.0119786793176453,1.057723839173413,1.114244233342447,1.2190748410732706,1.2155204854395731,1.1859487849558952,1.2040382240991307,1.197038388394528,1.2118038149823054,1.2224091201891483,1.2145054834085878,1.1848637582745218,1.1709585377506655,1.1757524360101999,1.1937334892168243
YAL054C,1.0131404923227287,1.06363769499129,1.1321404391244494,1.246509034735109,1.2325132460014203,1.1908258738220452,1.2066207455758895,1.2038024406736485,1.226634710787061,1.2435395669115035,1.2340224841371554,1.1977048082183777,1.1802940897964538,1.1861994700818648,1.2074797214066222
YAL053W,1.013140492322729,1.06363769499129,1.1321404391244494,1.2465090347351093,1.2325132460014205,1.190825873822045,1.2066207455758893,1.2038024406736483,1.2266347107870612,1.2435395669115035,1.2340224841371557,1.1977048082183777,1.1802940897964538,1.1861994700818648,1.2074797214066222
YAL051W,1.0134423505656427,1.065319827292383,1.137703151852234,1.2557482068561183,1.2386349112548063,1.1926563467542663,1.2074459585787682,1.2058478820125516,1.2313178540314964,1.2504797701128392,1.2406302739665251,1.202105443216133,1.183409382099676,1.1895811073915683,1.2119333919462838
YAL049C,1.013442350565643,1.065319827292383,1.1377031518522345,1.2557482068561188,1.238634911254806,1.1926563467542663,1.207445958578768,1.2058478820125516,1.231317854031496,1.250479770112839,1.2406302739665251,1.202105443216133,1.1834093820996763,1.1895811073915685,1.2119333919462838
YAL048C,1.0131404923227287,1.0636376949912898,1.1321404391244492,1.2465090347351098,1.23251324600142,1.1908258738220452,1.2066207455758893,1.2038024406736483,1.226634710787061,1.2435395669115035,1.2340224841371559,1.1977048082183777,1.1802940897964538,1.186199470081865,1.2074797214066224
YAL047C,1.0131404923227287,1.06363769499129,1.1321404391244494,1.2465090347351093,1.2325132460014203,1.1908258738220452,1.2066207455758893,1.203802440673648,1.2266347107870612,1.2435395669115035,1.2340224841371559,1.1977048082183774,1.1802940897964538,1.186199470081865,1.2074797214066224
YAL046C,1.0124131892628787,1.059846859909669,1.1204051656548493,1.2281541197408512,1.2209544273858093,1.1874773763410924,1.2049216807884626,1.1994011268728186,1.2168757806307877,1.2294974380049302,1.220954925999386,1.189083751056797,1.1740708269214721,1.179286544183074,1.1983790355973984
