chr,start,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140
1,0,2.055113964162731,2.2407086593259065,1.8799323256909568,2.0011779822843723,2.64100453585532,2.792269709465066,3.1429695048205506,2.963195302960696,2.0331259721282637,1.9918415104846943,2.218750552654728,2.1745983326108123,2.246297903474961,2.4301439277472423,2.394786393144987
1,2000,2.329137126231269,2.524796757668715,2.125311813827933,2.1916188425959096,2.8716662621975018,3.057727581289371,3.3340703935902978,3.119059353167495,2.1525190999684263,2.1618398587569274,2.4287194181203566,2.3506961930659536,2.372186965169175,2.5860889270263914,2.567363901623731
1,4000,2.147633280510572,2.3277273855031986,1.9684422416407819,2.1218042736182627,2.79558148723048,2.9230839867349836,3.2345629444890607,3.0084786901057194,2.0924233737432028,2.0636988171159962,2.3464164147675315,2.250237287596272,2.304997541454288,2.4797235733222687,2.479059681975229
1,6000,2.0559077115407716,2.23365022080551,1.9047059161746485,2.0188238347501817,2.5810297573734955,2.671932750841663,2.982224173067423,2.7339945897827214,1.936692963692042,1.9065796938378958,2.1716551464368035,2.077101946962661,2.1160388510975445,2.2924533756315415,2.3028347527839186
1,8000,1.9129982742539322,2.1038687239314804,1.8202733779540732,1.9809936375345052,2.506153586994255,2.52617042860772,2.86286229034008,2.669804135332841,1.8805745656657453,1.8518161966654714,2.086284019511231,2.002583155408429,2.054713583562383,2.2216080988696785,2.22755557766073
1,10000,1.5473979196722079,1.7368507300659592,1.550949041970437,1.7592305739427296,2.1648614608062298,2.1428043123833715,2.424816495202715,2.2697263029195853,1.6154180795225375,1.6153085961690243,1.7922935490870533,1.6928298370872348,1.7242848135904756,1.8820611847885953,1.8967138534124515
1,12000,1.2931024041760382,1.4648117686172835,1.3145017476570258,1.550794913826693,1.8661254338291693,1.816923176381633,2.104107969958802,1.9820491991257698,1.4437073836184764,1.422287228929861,1.559197965470706,1.470369715134666,1.5287317907174807,1.6497752753255104,1.6688323515551577
1,14000,1.4536700233889293,1.6031545809325414,1.4393932090951658,1.5870109821349294,1.882268566400777,1.888850143244475,2.102042751215001,1.9738348218271655,1.4541772391577852,1.471379793482192,1.589962838219434,1.5187011827765917,1.5236288532910396,1.6543254679076191,1.6944677778425699
1,16000,1.4138445056089048,1.5501429385836678,1.4071800606253464,1.5639910600381906,1.839670774299494,1.8197971362775158,2.024755312647053,1.9158361065589984,1.412028852091824,1.4239722048048618,1.5309220424731589,1.4535650185549822,1.4849265458024483,1.5833624557842427,1.6526442127844827
1,18000,1.2876545469513914,1.4128581199128585,1.2901475235496012,1.5086436757374697,1.743732742067961,1.712698591715108,1.95292963320463,1.8326461915292647,1.3871026684541221,1.3714152858961972,1.4614855322399982,1.3728700211466687,1.4469014162231075,1.5175033722148474,1.600741021325935
1,20000,1.8820296743930762,2.0799966876634537,1.909831215261222,1.9820537882207687,2.2830799694614914,2.2672878271306804,2.5122022868840994,2.360484824541464,1.8487410292596542,1.823627344847608,1.889754193347147,1.7676179489382546,1.864549134849648,1.9541566807078194,2.0735719485258026
1,22000,2.1272024857206855,2.409996113433229,2.270987461815088,2.354056744023567,2.647191605797712,2.578269443741243,2.86000663331554,2.691479855410267,2.1299967709407452,2.143333829664163,2.1814479620401763,2.0244669656763854,2.0921369459710157,2.2606026576656197,2.382490320097197
1,24000,2.2149885236126994,2.555597630837407,2.4575841100614935,2.640056455429424,2.889139244127302,2.73146800665647,3.1410521477732805,2.957343740506046,2.3536551678427466,2.290118713221798,2.3455348560112395,2.147057249439327,2.3095405546268712,2.4818613879599556,2.6136834942313993
1,26000,2.388296437937564,2.7534206043491087,2.635053903170596,2.865000199263293,3.109969359883824,2.895814059844644,3.3994174790176084,3.184666945912693,2.553888322166714,2.461360246825242,2.5185317554983575,2.3152269750800025,2.4949097618816642,2.7060795149822536,2.8567719307078026
1,28000,2.462336188839428,2.798642094312358,2.6967599952548507,2.91050416508761,3.124825223351684,2.913453810145874,3.3791800546471435,3.2012015407770744,2.5500641038665366,2.485463766550119,2.5504101033811786,2.3457193318130463,2.481971137621452,2.723563550235562,2.878707319768233
1,30000,2.1853175899945483,2.4415053387339904,2.4046243649206933,2.7604808138144845,2.931593495995519,2.6630335063798958,3.1997140459524487,3.02174529298695,2.3869658646648366,2.3081268740819807,2.3971288263056336,2.206061273397829,2.3383405260108376,2.59241365960174,2.735034784167102
1,32000,1.9342065876897534,2.158341934919404,2.170634090658435,2.677371767177749,2.8451464693093764,2.5474999059412142,3.1135030201813394,2.921270212409638,2.3020424024527832,2.190066287970903,2.306192898266991,2.112369361651038,2.26869669113291,2.4749389955204597,2.642086617656942
1,34000,1.992878593855315,2.2022151581675464,2.153766395847143,2.676020475478981,2.8675454138475955,2.5739437804398544,3.149553544417113,2.9631006768099772,2.3266948343702323,2.240145699101965,2.340232178299943,2.18305769114894,2.300370412859479,2.53365999155719,2.6880732751219134
