orf_name,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150
YAL067W-A,0.9894791834772343,1.0190844796658545,1.0453310019296307,1.1770134328591662,1.2618967372562089,1.2361171686896337,1.0469867634244756,1.1602378696928042,1.1318956401537237,1.1878112394695364,1.2447543198080702,1.2445864857823123,1.2709201183838037,1.2529966516906452,1.2301331067782166,1.2072129362704291
YAL067C,0.9894791834772341,1.0190844796658547,1.0453310019296307,1.1770134328591664,1.2618967372562087,1.2361171686896335,1.0469867634244758,1.1602378696928044,1.131895640153724,1.1878112394695362,1.2447543198080706,1.2445864857823121,1.2709201183838035,1.2529966516906454,1.2301331067782164,1.2072129362704294
YAL064C-A,0.9894279873962433,1.0184297506733246,1.040383147018977,1.1579121366534944,1.2288404473906351,1.2099471131032533,1.0377000948597273,1.1567312789654327,1.1276480703834664,1.177415283585871,1.2259268057035886,1.2215179444413253,1.2499142908073915,1.2379007605755907,1.218349978548985,1.1950624206383949
YAL064W,0.989373181534775,1.0178097318498076,1.0362557537598325,1.143773070073505,1.2067901907441492,1.1939112667343152,1.0323504469130291,1.1545779001527467,1.1244493192280796,1.1697420517065023,1.2127083461395967,1.205996331261486,1.2362058517326338,1.2281132638992749,1.2104797433973693,1.1867004559282248
YAL063C-A,0.9893731815347754,1.0178097318498076,1.0362557537598325,1.1437730700735051,1.2067901907441487,1.193911266734315,1.0323504469130294,1.1545779001527467,1.1244493192280793,1.1697420517065023,1.2127083461395967,1.2059963312614863,1.2362058517326342,1.2281132638992749,1.2104797433973695,1.1867004559282246
YAL063C,0.9891056409049163,1.0153054805954425,1.0224540449269763,1.1039448200054,1.1530269876515509,1.1590333648611404,1.0215617680619176,1.1494459860588928,1.1148076696826394,1.1478164529686197,1.1775679403890842,1.1670834253413207,1.203171023138601,1.2045380132119623,1.1905642806950476,1.1647437963013336
YAL062W,0.9890177858145641,1.0145872591904443,1.0190216459520516,1.09530475647199,1.1426890766135043,1.1529593259472861,1.0197925240543022,1.1484067051618083,1.1125482123788264,1.1429482505538904,1.17022032446497,1.1593348418281513,1.1967975003646167,1.199960391999004,1.186512204960993,1.1601543740084852
YAL061W,0.9889136947276672,1.0137779069448363,1.015345020173085,1.086473088712119,1.132535692142541,1.1471806727540117,1.0181356604572607,1.1473460745438127,1.110163766425334,1.1379160040032514,1.1627776827753924,1.15161100926259,1.1905052814922017,1.1954218358073363,1.182427819038192,1.1554930959772705
YAL060W,0.9890177858145639,1.0145872591904448,1.0190216459520511,1.09530475647199,1.1426890766135047,1.1529593259472866,1.0197925240543024,1.1484067051618083,1.1125482123788268,1.1429482505538906,1.1702203244649698,1.1593348418281517,1.196797500364617,1.1999603919990045,1.1865122049609933,1.1601543740084852
YAL059W,0.989017785814564,1.0145872591904446,1.0190216459520516,1.0953047564719898,1.1426890766135045,1.1529593259472861,1.0197925240543022,1.148406705161808,1.1125482123788264,1.1429482505538904,1.1702203244649698,1.1593348418281515,1.1967975003646172,1.199960391999004,1.186512204960993,1.1601543740084852
