orf_name,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150
YAL067W-A,0.9894753573242151,1.0190396835990392,1.0450190975777858,1.1759065751777151,1.2598172990357552,1.2342460338025742,1.0461662147533117,1.1598503883777036,1.131554947339192,1.1871618272415665,1.2435871093683977,1.2430535610646447,1.2694466993494185,1.2518981802322604,1.2292786932573372,1.2063781585232745
YAL067C,0.9894753573242151,1.0190396835990394,1.0450190975777858,1.1759065751777151,1.2598172990357552,1.234246033802574,1.046166214753312,1.1598503883777038,1.131554947339192,1.1871618272415663,1.2435871093683981,1.243053561064645,1.2694466993494185,1.2518981802322606,1.229278693257337,1.206378158523275
YAL064C-A,0.9894241614411908,1.0183849833865413,1.0400727190009216,1.1568232417376674,1.226815481545411,1.208115592344405,1.0368868243737484,1.1563449687363847,1.1273086560582657,1.1767715551405158,1.2247772498891432,1.2200134326444363,1.2484652245122039,1.2368155233150036,1.2175037492351815,1.194236044872168
YAL064W,0.9893693557916481,1.0177649918172953,1.0359465572674056,1.1426974714668072,1.2048015607932088,1.1921040197517268,1.0315413690746245,1.154192309081447,1.1241108677050096,1.1691025184484336,1.211571185320496,1.2045109370307712,1.2347726780767811,1.2270366070971699,1.2096389805125964,1.18587986239134
YAL063C-A,0.9893693557916484,1.0177649918172953,1.0359465572674054,1.1426974714668074,1.2048015607932085,1.1921040197517265,1.0315413690746247,1.1541923090814472,1.1241108677050096,1.1691025184484334,1.211571185320496,1.2045109370307712,1.2347726780767811,1.22703660709717,1.2096389805125967,1.1858798623913398
YAL063C,0.9891018161963249,1.0152608506427212,1.022148966568461,1.102906675690468,1.1511269523185885,1.1572789132450716,1.0207611455702317,1.1490621088782307,1.11447212022987,1.1471889070966377,1.176463730850243,1.1656459591220398,1.2017761478341111,1.203482024254396,1.1897373504927002,1.1639383856127334
YAL062W,0.9890139614456939,1.0145426608087014,1.018717591747776,1.09427473723059,1.1408060767848722,1.1512140687234684,1.0189932881616355,1.1480231750668077,1.1122133430071888,1.1423233662749894,1.169123004811046,1.1579069193371125,1.1954100140924,1.198908416129775,1.185688089208786,1.1593521368673902
YAL061W,0.9889098707613001,1.0137333441399254,1.0150420629950896,1.0854513747279297,1.130669423742965,1.145444162791266,1.0173377230883869,1.146962898664579,1.1098296147555538,1.1372938710053078,1.1616873421123746,1.150192600014697,1.189125089994,1.1943738387790974,1.181606540177812,1.1546940820713287
YAL060W,0.9890139614456936,1.0145426608087018,1.0187175917477758,1.09427473723059,1.1408060767848722,1.1512140687234687,1.018993288161636,1.1480231750668077,1.112213343007189,1.1423233662749894,1.1691230048110457,1.1579069193371128,1.1954100140923998,1.1989084161297752,1.185688089208786,1.1593521368673905
YAL059W,0.9890139614456938,1.0145426608087014,1.018717591747776,1.09427473723059,1.1408060767848722,1.1512140687234687,1.0189932881616357,1.148023175066808,1.112213343007189,1.1423233662749892,1.1691230048110455,1.1579069193371128,1.1954100140924002,1.198908416129775,1.185688089208786,1.1593521368673905
YAL058W,0.989101816196325,1.0152608506427212,1.022148966568461,1.1029066756904682,1.1511269523185885,1.1572789132450716,1.0207611455702315,1.149062108878231,1.1144721202298697,1.1471889070966377,1.1764637308502428,1.1656459591220394,1.2017761478341111,1.2034820242543958,1.1897373504927005,1.1639383856127339
