0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.11020788389033e-16,0,0,1.110217902732e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.31877971261504e-14,2.33091586915595e-14,1.60944053166341e-14,1.12105941179825e-14,7.76972833289246e-15,5.43881246373651e-15,3.66287155254762e-15,2.55289532949564e-15,1.77594091118889e-15,1.22096595322182e-15,7.76954418306757e-16,5.54974957967067e-16,4.43985227797222e-16,2.22005767457531e-16,2.2197946033969e-16,1.11016037287686e-16,1.10989730169845e-16,0,0,1.10989730169845e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.4634874778655e-12,6.14375667584659e-12,4.44937749595299e-12,3.21460729721695e-12,2.31718613312072e-12,1.66616525843535e-12,1.19527086061502e-12,8.55488059064831e-13,6.1085726404153e-13,4.35156612052684e-13,3.09135492982891e-13,2.19293109022653e-13,1.55010215038667e-13,1.09425700039044e-13,7.70069980775476e-14,5.41042183912632e-14,3.78396063172782e-14,2.65541896545099e-14,1.84773346114181e-14,1.2834626280034e-14,8.96217193886193e-15,6.08517687860516e-15,4.31492288839303e-15,2.87699506025678e-15,2.1022003509599e-15,1.32740564166303e-15,9.95839082243335e-16,6.63892721495557e-16,4.42468547221009e-16,2.21424174274548e-16,2.21424174274548e-16,1.10522186473231e-16,1.10522186473231e-16,1.10901987801317e-16,0,0,1.10522186473231e-16,0,0,0,0,0
1.11450046235133e-09,8.41264904368704e-10,6.33520636829619e-10,4.75955104352389e-10,3.56736452321203e-10,2.66751156934624e-10,1.98994105162571e-10,1.48098812785601e-10,1.09961263487104e-10,8.14523358997875e-11,6.01927560658221e-11,4.43774085801308e-11,3.26404934964249e-11,2.39510293261118e-11,1.75337081643905e-11,1.28054792495652e-11,9.33029923900228e-12,6.78229606802424e-12,4.91843609371569e-12,3.55834955723489e-12,2.56841852678278e-12,1.84949216344803e-12,1.32854839393195e-12,9.52233964580259e-13,6.80910213458886e-13,4.8562177231571e-13,3.4563721156841e-13,2.45402691133952e-13,1.73792414041774e-13,1.22811218832513e-13,8.66252866401106e-14,6.08095845785479e-14,4.27723076717285e-14,2.99216509435556e-14,2.08458181875375e-14,1.45815369386905e-14,1.01534938262186e-14,7.01984808856858e-15,4.86151572171451e-15,3.34737181581829e-15,2.26670051916472e-15,1.62251205820689e-15
7.2158489255851e-08,5.66307302142892e-08,4.43400067157624e-08,3.46353510420034e-08,2.69912614662129e-08,2.0984900068976e-08,1.62768174770468e-08,1.2595410557998e-08,9.72378380329605e-09,7.48922934288573e-09,5.75465395495239e-09,4.41144674483562e-09,3.37382853583019e-09,2.57420917535313e-09,1.95949833580655e-09,1.4880795153534e-09,1.12742113563104e-09,8.52170550904168e-10,6.42608685372299e-10,4.83444636443582e-10,3.62848981330248e-10,2.71697174827731e-10,2.02966646121958e-10,1.51266548381075e-10,1.12471241749241e-10,8.34295248952848e-11,6.17416523646422e-11,4.55843076667168e-11,3.35763630608714e-11,2.46734691118212e-11,1.80886576071158e-11,1.32302013703385e-11,9.65378654419395e-12,7.02778116760131e-12,5.10402135074966e-12,3.69819883871982e-12,2.67325701019038e-12,1.92786921115804e-12,1.38708060154837e-12,9.95651192476445e-13,7.12883898272473e-13,5.09372866220656e-13
2.24382880995916e-06,1.83061008447314e-06,1.48999376767538e-06,1.209920662371e-06,9.80195465801454e-07,7.92231731351821e-07,6.3881373881837e-07,5.13901759708021e-07,4.12448481240067e-07,3.30249206467816e-07,2.63813916231687e-07,2.10250468944764e-07,1.67170634233838e-07,1.3260670297134e-07,1.04943322681239e-07,8.28567485427662e-08,6.526546451023e-08,5.12888342639601e-08,4.02110649779329e-08,3.1452275064895e-08,2.45437559412016e-08,1.91079384595235e-08,1.48412466615262e-08,1.15003060424308e-08,8.89062452658785e-09,6.85706857069921e-09,5.27628758018746e-09,4.05042769649659e-09,3.10210984196949e-09,2.37026656987452e-09,1.80683986704158e-09,1.37412435778401e-09,1.04259520749672e-09,7.89203725203573e-10,5.95998365985986e-10,4.49039786337925e-10,3.37526857665734e-10,2.53112879150178e-10,1.89366863479425e-10,1.41344014971105e-10,1.05252903057766e-10,7.81940388259932e-11
3.65614594753291e-05,3.1001370114235e-05,2.62255560556929e-05,2.21338180150864e-05,1.86369697237941e-05,1.56560428733734e-05,1.31212483883772e-05,1.09712503782098e-05,9.15218587423126e-06,7.61693044155611e-06,6.32445291446485e-06,5.23905880074461e-06,4.32983469330392e-06,3.57006243452472e-06,2.93675775936058e-06,2.41017274505143e-06,1.97339793355965e-06,1.61201466009522e-06,1.31374368107637e-06,1.0681691326267e-06,8.66474645472441e-07,7.01228431542846e-07,5.6617527912125e-07,4.56067096445242e-07,3.66517235404799e-07,2.93864685393338e-07,2.35065082592699e-07,1.87592424801165e-07,1.49358621831462e-07,1.18640515184748e-07,9.40204229991273e-08,7.43360029516236e-08,5.86358931858989e-08,4.61440392992057e-08,3.62288143422022e-08,2.83779138119281e-08,2.21765779342065e-08,1.72900021350423e-08,1.34487955799272e-08,1.04366008814592e-08,8.08020682119985e-09,6.24126080881155e-09
0.000342098876974756,0.000301405582334782,0.000264936464771583,0.000232340186810763,0.000203281855002816,0.000177445499855508,0.000154533331138818,0.000134267683768274,0.000116389263475565,0.0001006572693402,8.68499404023991e-05,7.47628052286111e-05,6.4208680102565e-05,5.50164670210191e-05,4.70309564741614e-05,4.01113254440337e-05,3.41303715685908e-05,2.89739148118476e-05,2.45394613094076e-05,2.07355212750368e-05,1.74805740917212e-05,1.47024119350375e-05,1.2337113702148e-05,1.03283120005738e-05,8.62655296557196e-06,7.18847755336721e-06,5.97624828618831e-06,4.95691125766835e-06,4.10190710513625e-06,3.38651169402958e-06,2.78939577505308e-06,2.2922388275171e-06,1.87932232910713e-06,1.5372155288879e-06,1.25446645406621e-06,1.02135215693404e-06,8.29629233846836e-07,6.72331382640942e-07,5.43594295122169e-07,4.38488371418333e-07,3.52885121048656e-07,2.83334470166275e-07
0.00183179912906209,0.0016764576067536,0.00153074487753882,0.00139447234359441,0.00126739907941969,0.00114924779328444,0.00103970343632487,0.000938430538901238,0.000845067874781704,0.000759235595693468,0.000680547406430147,0.000608606512087856,0.000543014730773465,0.000483372718961112,0.000429288757484592,0.000380376516755421,0.000336258589717378,0.000296571854989668,0.000260965363281107,0.000229103965093514,0.000200667874005196,0.000175355726028522,0.000152882879241898,0.000132982123010821,0.000115404974861895,9.99199455151934e-05,8.63130858032253e-05,7.43869248869594e-05,6.39607326293021e-05,5.48690005311085e-05,4.6960874539854e-05,4.00997962824904e-05,3.4162098893871e-05,2.90364633791132e-05,2.46228544652182e-05,2.08319509102717e-05,1.75840245326952e-05,1.48081950113313e-05,1.24417891282291e-05,1.04294147040565e-05,8.72235637846038e-06,7.27785207147021e-06
0.00528636165776147,0.00502390599512366,0.00476350663809051,0.00450623670356158,0.00425307185342883,0.00400491543359757,0.00376256989888158,0.00352677478863048,0.00329816796432531,0.00307728975828258,0.00286461279126501,0.00266051013405955,0.00246527734077551,0.00227912014934862,0.00210218321238892,0.00193453136691944,0.0017761578280622,0.00162700630914504,0.00148695684704759,0.00135584285583695,0.001233448190744,0.00111952648334318,0.00101379394318018,0.000915936940505963,0.00082562600243659,0.000742510487630039,0.000666229226481704,0.000596410567767846,0.000532683059966875,0.000474672747521898,0.000422007598947908,0.00037432441271044,0.000331266465813994,0.000292488403005517,0.000257656076021271,0.000226450891690431,0.000198568124872615,0.000173718309433562,0.000151629451856022,0.00013204530902495,0.000114726630967851,9.94502921627419e-05
0.00786565621754093,0.00775922952871899,0.00763677377462618,0.00749911412552151,0.00734713499522899,0.00718181682631556,0.00700418150654914,0.0068153538207835,0.00661648362414035,0.00640873754540482,0.00619334663866777,0.0059715274659018,0.00574451015629527,0.00551349181148572,0.0052796839124931,0.00504424901808874,0.00480829588672185,0.0045729160884391,0.0043391253161311,0.00410788691892596,0.00388008083328433,0.00365654056505203,0.00343801140578004,0.00322515218231806,0.00301856422928272,0.00281875599147749,0.00262616383058238,0.00244113677473186,0.00226396500168171,0.00209485789213873,0.0019339506308551,0.00178132635595937,0.00163699909617181,0.00150093070063399,0.00137302610757716,0.00125315341525183,0.00114113477571713,0.00103675369119317,0.000939769903676894,0.000849912675335928,0.000766892213446126,0.00069039923278005
0.00618488835164304,0.00632750594578001,0.00645926843177607,0.00657928818508213,0.00668672400305272,0.00678082779202863,0.00686091103689191,0.00692642005971328,0.00697688009355711,0.00701189868834614,0.00703123313720872,0.00703472224368258,0.00702232990764263,0.00699410257830696,0.00695023918506473,0.00689102454569729,0.00681682662501255,0.006728154502281,0.00662558280710883,0.00650978659371408,0.0063814940452326,0.00624154403161678,0.00609081725140073,0.00593022939808654,0.0057607762997624,0.00558346210494641,0.00539932568037776,0.00520939731184497,0.00501474337356861,0.00481640671660907,0.00461540111479077,0.00441274570184568,0.00420940804430643,0.00400632552880835,0.00380437391932966,0.00360440203419021,0.00340718950086218,0.00321344643704147,0.00302384050078648,0.00283895998921285,0.00265933262216772,0.00248540825531921
0.00285508891889576,0.00299925395722982,0.00314898133041662,0.00330350382815252,0.0034619999161116,0.00362361550550664,0.00378744607126043,0.00395257778943501,0.00411806016909237,0.00428290853466882,0.00444614834625161,0.00460678022298515,0.00476381244303866,0.00491623988405956,0.00506310010215702,0.00520343846617702,0.00533631347493602,0.00546085283974376,0.00557620879781803,0.00568159770368907,0.00577627322152632,0.00585959083997818,0.00593096276979935,0.00598986208129731,0.00603588205315666,0.00606868023797851,0.00608801774520716,0.00609372465050833,0.00608576291439474,0.00606417106613311,0.00602906353990114,0.00598068409129971,0.00591934151799006,0.00584544251156423,0.00575945135120914,0.0056619435274875,0.00555354575857394,0.00543493085088977,0.00530686040861019,0.00517012055012003,0.00502554696390086,0.00487398554048426
