orf_name,chr,prom_sm_occ,gb_nuc_occ,time
YAL068C,1,0.0038972234022785802,0.004817827603456087,0
YAL067W-A,1,0.0046585036345691945,0.09375678194715274,0
YAL067C,1,0.02483872908877471,0.16307845973041438,0
YAL065C,1,0.001008814101104957,0.13920416411911166,0
YAL064W-B,1,0.001008814101104957,0.011537754932760205,0
YAL064C-A,1,0.0023046083122638308,0.10153474771360059,0
YAL064W,1,0.010932580291525208,0.05312539301689321,0
YAL063C-A,1,0.0005373014858847656,0.14806833932592461,0
YAL063C,1,0.015424686536195002,0.14014075097655834,0
YAL062W,1,0.04234750088667459,0.17326243821403184,0
YAL061W,1,0.039050014680267905,0.13172976449592874,0
YAL060W,1,0.03404867877383014,0.12434811217751039,0
YAL059W,1,0.035722693720774475,0.10894923931298399,0
YAL058W,1,0.021139041188630893,0.16753853172140348,0
YAL056W,1,0.04816754210265296,0.1343143626534959,0
YAL055W,1,0.04750795690818482,0.16755210487893465,0
YAL054C,1,0.01793366644219166,0.11817156927050887,0
YAL053W,1,0.0943856239170198,0.2173424374975822,0
YAL051W,1,0.05609364597580804,0.15914928583727242,0
YAL049C,1,0.04752993781689603,0.10941411551208025,0
YAL048C,1,0.01958043356617017,0.18249278957274556,0
YAL047C,1,0.013059158520177435,0.18341661082437616,0
YAL046C,1,0.013149776838724965,0.12395081987335754,0
YAL044W-A,1,0.012492979961253738,0.18612302772412379,0
YAL044C,1,0.04776980623886694,0.146472359465959,0
YAL043C,1,0.04817360499626646,0.1223377341576129,0
YAL042W,1,0.047906825411416464,0.11270157597019134,0
YAL041W,1,0.048724666571663425,0.10273158359182093,0
YAL040C,1,0.0763933933340776,0.10892499298356294,0
YAL039C,1,0.07311469278265517,0.07774633147541027,0
YAL038W,1,0.07931595116783911,0.09916467226702393,0
YAL037C-A,1,0.03465370090237156,0.13117914102954376,0
YAL037W,1,0.020610111127046377,0.20602983530833094,0
YAL036C,1,0.05195689405820835,0.12207848422539504,0
YAL035W,1,0.053102135735098595,0.08189921673054451,0
YAL034W-A,1,0.021695445232291197,0.19025545065500546,0
YAL034C,1,0.03745947276339273,0.1260584212386042,0
YAL033W,1,0.016235483704732153,0.15032245857437165,0
YAL032C,1,0.03186534214818786,0.13606132764751142,0
YAL031C,1,0.05749309232810508,0.20287519493911949,0
YAL030W,1,0.058625493314553856,0.21083278694056398,0
YAL029C,1,0.09196980283327798,0.16493573817807658,0
YAL028W,1,0.09219463499100865,0.16509113627869615,0
YAL027W,1,0.019161949153835723,0.20271190714002238,0
YAL026C,1,0.046063138331839185,0.1050314626025756,0
YAL025C,1,0.038150654120823094,0.12238934142583116,0
YAL024C,1,0.03759937956161671,0.1706930838974453,0
YAL023C,1,0.06563727851255657,0.1150169292594416,0
YAL022C,1,0.03514083450754662,0.13306242405251473,0
YAL021C,1,0.03469082972810804,0.11766646882656823,0
YAL020C,1,0.03905476546339526,0.07815268207589257,0
YAL019W,1,0.039951594795867726,0.11776031288941353,0
YAL018C,1,0.06645372237894347,0.14888023715188112,0
YAL017W,1,0.06932690531909128,0.20023627651176135,0
YAL016W,1,0.04435982636038485,0.07273397958791106,0
YAL015C,1,0.0190789190118607,0.16062361037912426,0
YAL014C,1,0.05391746536061561,0.10126472318712196,0
YAL013W,1,0.05348737322352542,0.1662496192149924,0
