                 mean         2.5%        97.5%     accept. rate
       mu0     -26.7901     -27.0555     -26.4737     -26.8001
     delta       8.1805       7.4612       8.8191       8.0115
    sigma0      10.9885      10.8731      11.1055      11.1026
    sigmav       0.1424       0.1394       0.1454       0.1418
    lambda      68.1914      67.7108      68.6907      68.4333
    gamma1       0.0041       0.0015       0.0081       0.0041
    gamma2       0.2547       0.2519       0.2581       0.2537
      mua1       7.7329       7.7322       7.7337       7.7332
   sigmaa1       0.0010       0.0005       0.0019       0.0007
      mua2       1.0167       1.0009       1.0327       1.0195
   sigmaa2       0.0312       0.0161       0.0595       0.0306
       mut      -2.4725      -2.5069      -2.4383      -2.4656
    sigmat       0.0674       0.0347       0.1286       0.1306
       a10       7.8047       7.8036       7.8058       7.8049
       a11       7.7800       7.7790       7.7811       7.7797
       a12       7.7745       7.7732       7.7757       7.7756
       a13       7.7468       7.7448       7.7489       7.7472
       a14       7.7314       7.7294       7.7334       7.7318
       a15       7.7352       7.7330       7.7374       7.7363
       a16       7.7349       7.7327       7.7370       7.7354
       a17       7.7024       7.7001       7.7046       7.7031
       a18       7.7222       7.7194       7.7249       7.7249
       a19       7.7395       7.7362       7.7428       7.7417
      a110       7.6932       7.6898       7.6966       7.6933
      a111       7.7242       7.7216       7.7268       7.7227
      a112       7.7071       7.7045       7.7096       7.7060
      a113       7.6943       7.6917       7.6971       7.6962
      a114       7.7003       7.6973       7.7034       7.6988
      a115       7.7327       7.7295       7.7357       7.7306
       a20       1.4988       1.4957       1.5000       1.4987
       a21       1.4879       1.4576       1.4997       1.4909
       a22       0.8773       0.8669       0.8875       0.8723
       a23       0.8783       0.8735       0.8831       0.8780
       a24       0.9626       0.9600       0.9651       0.9623
       a25       0.9681       0.9657       0.9705       0.9672
       a26       0.9656       0.9632       0.9679       0.9653
       a27       0.9766       0.9741       0.9790       0.9752
       a28       0.9925       0.9895       0.9954       0.9899
       a29       0.9712       0.9675       0.9749       0.9681
      a210       0.9504       0.9463       0.9544       0.9506
      a211       0.9682       0.9652       0.9711       0.9711
      a212       0.9771       0.9742       0.9799       0.9774
      a213       0.9755       0.9725       0.9783       0.9733
      a214       0.9745       0.9712       0.9778       0.9764
      a215       0.9581       0.9547       0.9615       0.9604
      tau0      -2.3788      -2.3876      -2.3700      -2.3780
      tau1      -2.4472      -2.4562      -2.4380      -2.4501
      tau2      -2.4417      -2.4534      -2.4301      -2.4419
      tau3      -2.3861      -2.4033      -2.3688      -2.3686
      tau4      -2.6836      -2.6967      -2.6706      -2.6847
      tau5      -2.7563      -2.7674      -2.7453      -2.7508
      tau6      -2.7323      -2.7421      -2.7225      -2.7330
      tau7      -2.7422      -2.7513      -2.7332      -2.7302
      tau8      -2.5567      -2.5659      -2.5476      -2.5543
      tau9      -2.3442      -2.3557      -2.3326      -2.3371
     tau10      -2.3138      -2.3273      -2.3001      -2.3093
     tau11      -2.5838      -2.5958      -2.5718      -2.5872
     tau12      -2.6397      -2.6507      -2.6289      -2.6343
     tau13      -2.6315      -2.6417      -2.6213      -2.6347
     tau14      -2.5408      -2.5508      -2.5306      -2.5411
     tau15      -2.5051      -2.5164      -2.4938      -2.5073
    halted       0.2245       0.2201       0.2288       0.2253
 posterior-4392885.8936-4392896.6459-4392876.8833
