,"(0, 100)","(100, 145)","(145, 195)"
0_replicate1,0.46276574530415976,0.7227422561650926,0.7021819560021295
10_replicate1,0.4390212275004425,0.7119413248731463,0.7728317348170188
20_replicate1,0.6051862314476821,0.9626709570922256,0.9521909858423334
30_replicate1,0.4068421263171559,0.6695515400882189,0.7451884256192417
40_replicate1,0.5776476261622059,0.8984832916359237,0.7419505925917794
50_replicate1,0.576888123518231,0.862035395266918,0.7118377415831794
60_replicate1,0.24605100846069455,0.4623388360692519,0.5725304360685753
70_replicate1,0.17377567494784393,0.3819095596083484,0.5485522481315322
80_replicate1,0.6338049150317958,0.7704773974511122,0.6412032534203412
90_replicate1,0.5476548046480303,0.760887815191253,0.689731943352578
100_replicate1,0.3516235992903603,0.6309795841144256,0.5928398367643184
110_replicate1,0.6216746490571344,0.8881211146509609,0.719781936789078
120_replicate1,0.43777345844251847,0.6531687064895806,0.7885854475888294
130_replicate1,0.250087718149021,0.40773183922104644,0.4817533006701325
140_replicate1,0.22471945662384527,0.33857196316282434,0.38759610264226957
150,0.2069207970300913,0.3581895513848467,0.41594980239041085
0_replicate2,0.5246291807281853,0.5852773657608326,0.6484077401144155
10_replicate2,0.3032654274141512,0.5140872442296613,0.6208804618028243
20_replicate2,0.36145322380075223,0.5374401254532065,0.6129796891915624
30_replicate2,0.3053736716550877,0.4337855956532801,0.5078796429848269
40_replicate2,0.2053067968412666,0.384300617765836,0.4694843842434836
50_replicate2,0.33236105527709797,0.4580815612754281,0.4642697979247013
60_replicate2,0.1847815661737288,0.32386033414133103,0.46354318074726186
70_replicate2,0.20980155676356613,0.3388037521681972,0.48478520534834935
80_replicate2,0.18170078004345552,0.41806912049621653,0.648722770716819
90_replicate2,0.2571934984000705,0.4911310957094753,0.5835311566683008
100_replicate2,0.2372258289001316,0.4602125753906709,0.5668348589456466
110_replicate2,0.30292927193195984,0.5372293407875733,0.5886042992059655
120_replicate2,0.29813232262849026,0.4866731453580886,0.5789752379797821
130_replicate2,0.234260848481497,0.42387009119015656,0.5346993110706384
140_replicate2,0.18854043920028732,0.39855223016737107,0.518912218749372
