,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140
78,54672,69476,64111,69574,89194,64969,102804,93874,101089,69787,76086,62053,67047,78542,93588
79,54024,69114,64574,69828,88465,65784,102275,92992,100341,69757,75725,62290,66456,78728,92661
80,54289,68916,63954,68799,87319,65133,100787,91664,98359,68676,74139,61121,65882,77373,91270
81,54379,68235,63174,68782,86190,64640,100070,90641,96055,68126,73312,60299,65361,76638,89608
82,57672,72781,67694,72424,91046,68809,105914,96698,102169,71677,78801,64963,70449,82028,95118
83,59525,73520,68990,74015,92465,70415,106857,98630,102976,73606,79195,65500,70876,82778,95957
84,57940,72432,67947,73324,90305,68610,105180,96115,100449,71155,77112,64034,69872,81942,93467
85,59229,72747,67337,73573,90132,69268,105264,96787,99616,71097,77053,63783,69460,81098,93459
86,59366,72984,68383,74028,90300,69575,105011,96465,99155,70630,76699,63242,69353,81147,92974
87,60931,74277,69346,75122,91545,71010,108013,100348,100911,72241,78261,64734,71431,82867,94311
88,61753,74860,70138,76734,92528,71738,109320,102482,101277,73622,79196,65479,72585,83819,96243
89,65315,79126,73840,81502,97122,75717,115440,107412,106006,76463,82689,68643,75754,88305,100911
90,67769,82053,77201,83827,101353,78630,120963,113347,109491,79865,85518,71590,80195,92968,105397
91,70661,84143,79108,86671,103293,80537,124256,115873,111636,81735,87911,74145,82053,95303,107985
92,71413,85024,78734,87063,103610,81485,124288,116241,111574,81459,87567,73753,82268,95759,107650
93,71573,85270,78834,86803,102782,80755,124174,115947,110342,80980,87361,73137,82499,95474,107264
94,71656,85149,78547,87169,102758,81469,123305,115782,109494,80822,86326,72605,81695,95348,106703
95,73077,85844,80286,88700,104173,83121,125079,117546,110927,82167,88116,74436,83808,96596,108008
96,74723,87969,82529,90454,106872,84506,128337,120245,112228,83444,89875,76075,85816,98329,110114
97,74447,87733,82121,90772,106119,84935,127576,120274,110586,82367,89567,75799,85767,98671,109102
98,74305,87777,81617,90813,105521,85366,126824,119419,109610,82315,89303,75265,85332,97716,108102
99,76701,89833,84514,93033,107948,87282,129838,122225,111278,83787,91458,77355,87939,100308,110569
100,77896,90673,84268,94358,109128,88478,130883,123658,111629,84775,91563,78117,88399,100896,111322
101,78635,91126,84854,95190,110150,88835,132793,125403,111786,85340,92070,78158,88487,102053,112543
102,81019,93068,87365,97728,113111,92232,136844,129321,115897,87679,95241,81047,92332,105538,115318
103,80656,93757,87600,98843,113677,92355,137618,129960,115834,88511,95676,81118,92114,105739,114735
104,80867,94132,87619,98585,112841,92370,136549,129566,114443,88404,94994,80978,91598,104373,114162
105,80181,93983,87070,98364,113726,93079,137022,129682,113776,88179,94874,80347,90965,103993,113265
106,81329,94285,87310,100521,114444,93293,139123,130806,114253,89067,95678,81326,91321,105183,114504
107,81475,94991,88268,101795,114841,94188,139048,132917,114610,89419,96384,81382,92528,106119,115416
108,82637,95824,89090,103554,117479,96784,142241,136081,116876,91221,98385,83874,93677,107535,117841
109,83704,96394,90281,104801,119013,97532,142534,137190,115999,91984,99086,83789,95331,109585,118568
110,84436,97266,91083,106725,120048,99201,144907,137871,117190,93268,100674,85320,95991,109953,119330
111,85621,98964,92505,108618,122431,100610,146890,139735,118334,94842,102140,86411,97640,112136,120463
112,87596,100009,94291,110744,125051,102861,149315,143513,120276,97640,103536,89147,99539,114588,123154
113,89236,102187,95523,113074,128097,105117,154177,148520,123262,99864,107472,91209,101875,117577,125950
114,90056,103398,97145,115351,130435,107857,156124,150536,124980,101558,108539,92326,103575,119356,128245
115,90207,103709,97781,117297,132339,109344,158503,151897,126637,103515,110263,94202,105024,121340,129377
116,90023,103447,98579,117968,132058,110664,159483,152405,125456,103948,111483,94715,105625,121691,129907
117,91212,103428,99031,118932,134274,110859,160031,152706,126100,104886,112359,95194,106150,121976,130824
118,90485,104827,99203,121135,135884,113637,162340,154351,127187,107059,114004,97208,107619,122990,132231
119,91631,105032,100145,121710,136589,114294,162903,155787,128087,107318,114695,97897,108716,123925,132362
120,92499,105763,101247,124584,138266,116804,164305,157482,128740,108720,116129,99463,109977,126032,133387
121,93916,107341,103554,126337,142589,120029,169182,162680,131309,111160,118966,101891,112089,129177,136308
122,97502,110781,105396,130411,147630,124086,174054,168192,134840,115420,122432,105063,116204,132469,141098
123,100236,113675,109136,136745,153491,128357,182660,176236,140122,119973,128073,108654,120003,138224,145609
124,103834,117442,112639,142195,159776,133013,190698,183052,144912,124871,133571,113935,124612,144223,151953
125,107065,121791,116011,148654,166543,140032,198965,191389,150614,130359,139313,118406,129829,150886,157736
126,110762,125786,121091,155290,173317,146088,207328,200168,156648,136776,145442,124275,136588,156645,164869
127,115658,131682,125309,161594,181331,152506,215555,207160,162412,142450,150630,128903,141354,163061,172199
128,118638,134650,128792,166973,186645,157156,222049,213820,166913,146036,156569,133077,145560,168611,176969
129,121796,137904,131757,171167,193422,162718,229644,220628,171102,152099,160408,138280,150485,172588,182274
130,125324,141852,135959,178785,199060,169990,236184,226964,176185,156822,165386,142985,156035,178956,188589
131,128810,144146,139347,183603,205139,174657,242103,232943,180062,160975,170836,147313,159408,184321,193271
132,132215,148906,144585,190195,213320,180289,251941,241122,185053,167956,177257,152420,166231,191298,199530
133,137134,153327,148571,197421,220507,189276,261113,250202,190862,174088,184440,158782,172729,198688,207412
134,139579,157243,153028,204170,228670,196221,267747,256225,196104,180362,189965,164035,178050,204524,213909
135,144037,161343,157435,209999,236424,202603,276590,263372,201034,186288,196579,170403,183954,213033,221418
136,146806,164777,160671,216281,242871,209795,282934,270505,205466,191652,201779,175063,189232,217835,226645
137,149144,166468,163113,220166,247811,213475,285443,273741,208300,194694,206205,179286,192544,220652,230375
138,151082,168141,166111,224517,252811,219610,291766,278707,211285,199129,210652,183450,196634,224283,234897
139,152217,170693,168784,228589,257302,224651,294969,282361,214261,201685,214447,186460,199282,227375,236062
140,152296,170176,168347,229531,257428,226380,295128,280669,213450,203453,214239,187510,200503,228558,236682
141,154535,172175,172133,233350,262164,231826,299829,286122,215501,207092,218892,191288,202236,232213,239603
142,156513,174252,174630,236931,266706,236354,302664,288752,217661,208745,220650,193717,205049,234627,243387
143,159011,176325,176916,241030,270238,238357,306286,292492,219978,211585,224007,196382,208967,237568,246333
144,165173,182669,183359,250147,279776,247838,317360,302235,226685,219641,231664,203480,217024,246653,255485
145,172415,189667,189627,260176,290148,256418,328789,314474,234670,228948,240197,211070,222550,255681,264017
146,179096,196789,196398,270079,299480,265845,340345,325891,241653,236994,247829,219352,231938,265021,274383
147,187010,207516,205377,281843,311490,275881,353701,337752,250755,245669,257175,228318,240904,275932,285341
148,198799,217108,214666,294525,323872,288472,368436,352457,260941,255878,269109,237832,252163,289454,299066
149,207076,226923,222539,304546,334303,297085,380222,364101,268250,264720,276503,246529,261022,299675,309038
150,216937,235044,230961,315345,345925,308841,392441,375989,275734,272686,286246,255206,271143,309811,321331
151,226386,245979,242555,328741,358577,323918,407285,389625,285549,282461,296113,264769,282467,323179,335224
152,237781,257525,251861,338625,370667,334666,419592,401538,293577,292789,305473,274414,292815,335445,346661
153,249337,268379,261719,351722,383561,347553,433424,415383,301403,303103,317817,286314,304642,348534,359738
154,260670,280617,273772,367639,398452,361806,448811,431208,312807,315747,330480,298133,319387,362845,376909
155,273147,293127,286627,380337,412537,377569,465268,445511,323413,328555,343285,311604,331663,379011,392954
156,287199,307171,301117,395375,429396,393004,482263,463413,335623,341141,356076,327103,347279,395361,409617
157,300881,320297,312232,412113,445822,411067,497832,478017,346932,355004,371512,340676,362619,411411,427046
158,311568,331065,323635,421671,456974,426778,510121,487595,354226,364706,383126,352276,374216,422690,438653
159,322207,339528,334540,432792,468330,438795,518393,496843,360437,374307,389509,362487,384733,434409,450039
160,330799,348308,344664,442280,477708,452737,527733,504163,367730,382898,401158,372329,393245,444621,460157
161,333474,351107,345272,441162,476870,456227,524605,501367,364794,380824,398727,373465,395940,443791,458547
162,336980,354657,350448,445037,480654,461332,524900,500804,363954,383983,401239,377312,399335,446506,462538
163,342364,357959,354467,445807,483805,469974,526461,501843,366314,389446,405197,383410,403508,449163,466843
164,342094,358354,356401,444453,482129,472306,519580,495848,363351,386891,404271,383645,402489,447499,462436
165,342953,357323,358687,445097,482842,477668,517357,492868,360467,387606,405958,385386,404369,449009,463745
166,341574,353926,356113,439907,480365,474678,510726,485736,356271,386892,403494,384553,403299,444907,458559
167,336220,349959,351891,431840,470048,470596,496830,471589,348596,380974,396077,380879,397161,434474,447904
168,331545,344371,345700,424614,461202,464827,484218,458769,338652,371776,387082,372848,388457,424117,439440
169,323959,335410,340183,413887,448404,454429,466823,444004,328192,362490,377476,364565,376536,409782,423080
170,312094,323242,326993,398669,431809,440721,445356,423925,312796,347898,361634,349971,360999,391387,402530
171,300406,312349,317042,383149,415303,426454,426416,404676,299751,332624,347383,338275,346353,375056,387098
172,291605,301863,307393,370412,402414,413963,409089,390283,288970,323476,334218,324844,332005,359674,370206
173,280233,290563,295742,355253,385848,399008,388966,369806,274994,310087,320072,312892,318157,342111,352605
174,273798,282720,288457,346072,374813,388735,375678,359337,267723,301894,311133,303158,308016,332111,340889
175,269643,277951,284965,337957,367622,381816,366499,348784,259866,295032,304701,297884,301608,324025,331772
176,261876,267766,274946,325088,351403,366538,349138,332725,248538,283763,291390,287419,289229,308409,317145
177,253724,262148,268375,316471,342180,361258,337523,322134,241919,276586,284949,280738,280528,300004,307283
178,248316,255398,263031,307431,332785,352622,325492,310685,234146,269303,275720,272868,272103,289444,298342
179,239239,245376,253273,294110,318857,337190,309323,295230,222572,258110,264498,260207,259096,276497,284639
180,231095,238429,245554,284342,308044,327666,297352,283107,214652,248006,254550,251472,250357,264245,272037
181,224457,231337,238707,274940,296690,318428,285233,272604,205958,240026,244857,243513,241054,254451,260942
182,216256,222092,229778,263317,283755,304010,269638,257950,195161,228570,232802,231789,228946,240384,248360
183,208261,215066,222541,251979,272746,292832,257634,246706,186946,219818,223309,222513,218666,230333,236466
184,201467,206578,215664,242963,261469,282009,245870,235980,179717,211845,214888,214392,210354,220684,226678
185,193396,198479,205603,231741,248577,270029,233975,223714,170361,201410,204506,203542,200563,209138,214445
186,187773,192249,200342,223126,240059,260297,224582,214576,164025,194364,197145,196984,192190,200678,206378
187,181766,187015,194409,216022,232528,253048,214928,206577,157944,188328,189506,191049,185414,193137,198102
188,175555,179705,188251,206509,220656,241177,204377,196722,149662,179766,180791,181147,176956,184023,188811
189,172667,176846,183742,201123,214109,235181,197707,189791,145829,173960,175927,176795,171847,177638,182252
190,168333,171821,179483,193184,206454,227052,189966,182452,140517,168344,169302,170778,164903,169991,174387
