,"(0, 100)","(100, 145)","(145, 195)"
0,0.4687936992336784,0.7227422561650926,0.7021819560021295
10,0.44465298251979923,0.7119413248731463,0.7728317348170188
20,0.6137016915864306,0.9626709570922256,0.9521909858423334
30,0.4123110194275552,0.6695515400882189,0.7451884256192417
40,0.5845840816294355,0.8984832916359237,0.7419505925917794
50,0.5843241200184786,0.862035395266918,0.7118377415831794
60,0.24905828704802965,0.4623388360692519,0.5725304360685753
70,0.17550305883964218,0.3819095596083484,0.5485522481315322
80,0.6444581423793687,0.7704773974511122,0.6412032534203412
90,0.5550628445872325,0.760887815191253,0.689731943352578
100,0.3545274137575335,0.6309795841144256,0.5928398367643184
110,0.628706735683697,0.8881211146509609,0.719781936789078
120,0.442273666071616,0.6531687064895806,0.7885854475888294
130,0.25185375740016197,0.40773183922104644,0.4817533006701325
140,0.22649343762368762,0.33857196316282434,0.38759610264226957
150,0.20864523450949662,0.3581895513848467,0.41594980239041085
