,"(0, 100)","(100, 145)","(145, 195)"
0,0.4825236587154105,0.6638824532454385,0.6325845459664132
10,0.29882095892260463,0.5833101359325416,0.603588718024969
20,0.35141266120527265,0.6095813625996281,0.5981226225196554
30,0.2985900518230684,0.49139297766975637,0.48960394353389525
40,0.20758936753937943,0.4353345421807367,0.45210520185176223
50,0.32518013897036036,0.5187040589462988,0.452516479177201
60,0.18434945900970182,0.3669912619149492,0.44098859796170936
70,0.20791741472048003,0.38393573392172575,0.4612149069189784
80,0.18372162373211492,0.47419968866511947,0.6188492606757104
90,0.2604569072138051,0.5563247472649349,0.5627740515195889
100,0.24055155820823054,0.5213741288103357,0.5454665288018217
110,0.30402103793173935,0.6084873187564708,0.5703789857794065
120,0.2955031279883376,0.5514354137740309,0.5578876436731532
130,0.23490720806240703,0.48027556407321126,0.5122104599956357
140,0.1921807888938371,0.4517113434151113,0.4968110444875689
