orf_name,coverage_rep1,coverage_rep2
YBL003C,0.98,0.98
YBL002W,0.98,0.98
YBL001C,0.98,0.98
YBR001C,0.98,0.98
YBR002C,0.98,0.98
YBR003W,0.98,0.98
YBR004C,0.98,0.98
YBR005W,0.98,0.98
YBR006W,0.98,0.98
YBR007C,0.98,0.98
YBR008C,0.98,0.98
YBR009C,0.98,0.98
YBR010W,0.98,0.98
YBR011C,0.98,0.98
YBR013C,0.2,0.1
YBR014C,0.98,0.98
YBR015C,0.98,0.98
YBR016W,0.98,0.98
YBR017C,0.98,0.98
YBR018C,0.98,0.98
YBR019C,0.98,0.98
YBR020W,0.98,0.98
YBR021W,0.98,0.98
YBR022W,0.98,0.98
YBR023C,0.98,0.98
YBR024W,0.98,0.98
YBR025C,0.98,0.98
YBR026C,0.98,0.98
YBR028C,0.98,0.98
YBR029C,0.98,0.98
YBR030W,0.98,0.98
YBR031W,0.76,0.82
YBR033W,0.98,0.98
YBR034C,0.98,0.98
YBR035C,0.98,0.98
YBR036C,0.98,0.98
YBR037C,0.98,0.98
YBR038W,0.98,0.98
YBR039W,0.98,0.98
YBR040W,0.98,0.98
YBR041W,0.98,0.98
YBR042C,0.98,0.98
YBR043C,0.98,0.98
YBR044C,0.98,0.98
YBR045C,0.98,0.98
YBR046C,0.98,0.98
YBR047W,0.98,0.98
YBR048W,0.98,0.98
YBR049C,0.98,0.98
YBR050C,0.98,0.98
YBR052C,0.98,0.98
YBR053C,0.98,0.98
YBR054W,0.98,0.98
YBR055C,0.98,0.98
YBR056W,0.98,0.98
YBR057C,0.98,0.98
YBR058C,0.98,0.98
YBR058C-A,0.98,0.98
YBR059C,0.98,0.98
YBR060C,0.98,0.98
YBR061C,0.98,0.98
YBR062C,0.98,0.98
YBR063C,0.98,0.98
YBR065C,0.98,0.98
YBR066C,0.98,0.98
YBR067C,0.98,0.98
YBR068C,0.98,0.98
YBR069C,0.98,0.98
YBR070C,0.98,0.98
YBR071W,0.98,0.98
YBR072W,0.98,0.98
YBR072C-A,0.98,0.98
YBR073W,0.98,0.98
YBR074W,0.98,0.98
YBR076W,0.98,0.98
YBR077C,0.98,0.98
YBR078W,0.98,0.98
YBR079C,0.98,0.98
YBR080C,0.98,0.98
YBR081C,0.98,0.98
YBR082C,0.98,0.98
YBR083W,0.98,0.98
YBR084W,0.98,0.98
YBR084C-A,0.98,0.98
YBR085W,0.98,0.98
YBR085C-A,0.98,0.98
YBR086C,0.98,0.98
YBR087W,0.98,0.98
YBR088C,0.98,0.98
YBR089C-A,0.98,0.98
YBR090C,0.98,0.98
YBR091C,0.98,0.98
YBR092C,0.98,0.98
YBR093C,0.98,0.98
YBR094W,0.98,0.98
YBR095C,0.98,0.98
YBR096W,0.98,0.98
YBR097W,0.98,0.98
YBR098W,0.98,0.98
YBR101C,0.98,0.98
YBR102C,0.98,0.98
YBR103W,0.98,0.98
YBR104W,0.98,0.98
YBR105C,0.98,0.98
YBR106W,0.98,0.98
YBR107C,0.98,0.98
YBR108W,0.98,0.98
YBR109C,0.98,0.98
YBR110W,0.98,0.98
YBR111C,0.98,0.98
YBR111W-A,0.98,0.98
YBR112C,0.98,0.98
YBR114W,0.98,0.98
YBR115C,0.98,0.98
YBR117C,0.98,0.98
YBR118W,0.5,0.52
YBR119W,0.98,0.98
YBR120C,0.98,0.98
YBR121C,0.98,0.98
YBR122C,0.98,0.98
YBR123C,0.98,0.98
YBR125C,0.98,0.98
YBR126C,0.98,0.98
YBR127C,0.98,0.98
YBR128C,0.98,0.98
YBR129C,0.98,0.98
YBR130C,0.98,0.98
YBR131W,0.98,0.98
YBR132C,0.98,0.98
YBR133C,0.98,0.98
YBR135W,0.98,0.98
YBR136W,0.98,0.98
YBR137W,0.98,0.98
YBR138C,0.98,0.98
YBR139W,0.98,0.98
YBR140C,0.98,0.98
YBR141C,0.98,0.98
YBR142W,0.98,0.98
YBR143C,0.98,0.98
YBR145W,0.98,0.98
YBR146W,0.98,0.98
YBR147W,0.98,0.98
YBR148W,0.98,0.98
YBR149W,0.98,0.98
YBR150C,0.98,0.98
YBR151W,0.98,0.98
YBR152W,0.98,0.98
YBR153W,0.98,0.98
YBR154C,0.98,0.98
YBR155W,0.98,0.98
YBR156C,0.98,0.98
YBR157C,0.98,0.98
YBR158W,0.98,0.98
YBR159W,0.98,0.98
YBR160W,0.98,0.98
YBR161W,0.98,0.98
YBR162C,0.98,0.98
YBR162W-A,0.98,0.98
YBR163W,0.98,0.98
YBR164C,0.98,0.98
YBR165W,0.98,0.98
YBR166C,0.98,0.98
YBR167C,0.98,0.98
YBR168W,0.98,0.98
YBR169C,0.98,0.98
YBR170C,0.98,0.98
YBR171W,0.98,0.98
YBR172C,0.98,0.98
YBR173C,0.98,0.98
YBR175W,0.98,0.98
YBR176W,0.98,0.98
YBR177C,0.98,0.98
YBR179C,0.98,0.98
YBR180W,0.98,0.98
YBR181C,0.98,0.94
YBR182C,0.98,0.98
YBR182C-A,0.98,0.98
YBR183W,0.98,0.98
YBR184W,0.98,0.98
YBR185C,0.98,0.98
YBR186W,0.98,0.98
YBR187W,0.98,0.98
YBR188C,0.98,0.98
YBR189W,0.98,0.98
YBR191W,0.98,0.98
YBR192W,0.98,0.98
YBR193C,0.98,0.98
YBR194W,0.98,0.98
YBR195C,0.98,0.98
YBR196C,0.98,0.98
YBR196C-A,0.98,0.98
YBR196C-B,0.98,0.98
YBR197C,0.98,0.98
YBR198C,0.98,0.98
YBR199W,0.98,0.98
YBR200W,0.98,0.98
YBR200W-A,0.98,0.98
YBR201W,0.98,0.98
YBR201C-A,0.98,0.98
YBR202W,0.98,0.98
YBR203W,0.98,0.98
