orf_name,repl_timing1,repl_timing2,mean
YAL067W-A,0.7550729965948786,0.8628460355792211,0.8089595160870499
YAL067C,0.7550729965948786,0.6967587367732226,0.7259158666840506
YAL064C-A,0.7550729965948786,0.6967587367732226,0.7259158666840506
YAL064W,0.6084269385875638,0.6967587367732226,0.6525928376803932
YAL063C-A,0.6084269385875638,0.6967587367732226,0.6525928376803932
YAL063C,0.6084269385875638,0.6967587367732226,0.6525928376803932
YAL062W,0.6084269385875638,0.6967587367732226,0.6525928376803932
YAL061W,0.6084269385875638,0.5306714379672244,0.5695491882773941
YAL060W,0.6084269385875638,0.5306714379672244,0.5695491882773941
YAL059W,0.6084269385875638,0.5306714379672244,0.5695491882773941
YAL058W,0.6084269385875638,0.5306714379672244,0.5695491882773941
YAL056W,0.6084269385875638,0.6967587367732226,0.6525928376803932
YAL055W,0.6084269385875638,0.5306714379672244,0.5695491882773941
YAL054C,0.7550729965948786,0.6967587367732226,0.7259158666840506
YAL053W,0.7550729965948786,0.6967587367732226,0.7259158666840506
YAL051W,0.7550729965948786,0.6967587367732226,0.7259158666840506
YAL049C,0.7550729965948786,0.6967587367732226,0.7259158666840506
YAL048C,0.7550729965948786,0.6967587367732226,0.7259158666840506
YAL047C,0.7550729965948786,0.6967587367732226,0.7259158666840506
YAL046C,0.7550729965948786,0.6967587367732226,0.7259158666840506
YAL044W-A,0.7550729965948786,0.6967587367732226,0.7259158666840506
YAL044C,0.7550729965948786,0.6967587367732226,0.7259158666840506
YAL043C,0.6084269385875638,0.5306714379672244,0.5695491882773941
YAL042W,0.6084269385875638,0.5306714379672244,0.5695491882773941
YAL041W,0.6084269385875638,0.5306714379672244,0.5695491882773941
YAL040C,0.6084269385875638,0.6967587367732226,0.6525928376803932
YAL039C,0.6084269385875638,0.6967587367732226,0.6525928376803932
YAL038W,0.6084269385875638,0.6967587367732226,0.6525928376803932
YAL037C-A,0.6084269385875638,0.6967587367732226,0.6525928376803932
YAL037W,0.6084269385875638,0.6967587367732226,0.6525928376803932
YAL036C,0.6084269385875638,0.5306714379672244,0.5695491882773941
YAL035W,0.6084269385875638,0.5306714379672244,0.5695491882773941
YAL034W-A,0.6084269385875638,0.6967587367732226,0.6525928376803932
YAL034C,0.7550729965948786,0.6967587367732226,0.7259158666840506
YAL033W,0.7550729965948786,0.6967587367732226,0.7259158666840506
YAL032C,0.7550729965948786,0.6967587367732226,0.7259158666840506
YAL031C,0.7550729965948786,0.6967587367732226,0.7259158666840506
YAL030W,0.7550729965948786,0.6967587367732226,0.7259158666840506
YAL029C,0.7550729965948786,0.6967587367732226,0.7259158666840506
YAL028W,0.7550729965948786,0.6967587367732226,0.7259158666840506
YAL027W,0.7550729965948786,0.6967587367732226,0.7259158666840506
YAL026C,0.7550729965948786,0.6967587367732226,0.7259158666840506
YAL025C,0.7550729965948786,0.6967587367732226,0.7259158666840506
YAL024C,0.7550729965948786,0.6967587367732226,0.7259158666840506
YAL023C,0.7550729965948786,0.6967587367732226,0.7259158666840506
YAL022C,0.7550729965948786,0.5306714379672244,0.6428722172810515
YAL021C,0.6084269385875638,0.5306714379672244,0.5695491882773941
YAL020C,0.6084269385875638,0.5306714379672244,0.5695491882773941
YAL019W,0.6084269385875638,0.5306714379672244,0.5695491882773941
YAL018C,0.6084269385875638,0.5306714379672244,0.5695491882773941
YAL017W,0.6084269385875638,0.5306714379672244,0.5695491882773941
YAL016W,0.6084269385875638,0.5306714379672244,0.5695491882773941
YAL015C,0.6084269385875638,0.5306714379672244,0.5695491882773941
YAL014C,0.6084269385875638,0.5306714379672244,0.5695491882773941
YAL013W,0.6084269385875638,0.5306714379672244,0.5695491882773941
YAL012W,0.6084269385875638,0.5306714379672244,0.5695491882773941
YAL011W,0.6084269385875638,0.5306714379672244,0.5695491882773941
YAL010C,0.6084269385875638,0.5306714379672244,0.5695491882773941
YAL009W,0.6084269385875638,0.5306714379672244,0.5695491882773941
YAL008W,0.6084269385875638,0.5306714379672244,0.5695491882773941
YAL007C,0.6084269385875638,0.5306714379672244,0.5695491882773941
YAL005C,0.46178088058024913,0.3645841391612259,0.4131825098707375
YAL003W,0.46178088058024913,0.3645841391612259,0.4131825098707375
YAL002W,0.46178088058024913,0.3645841391612259,0.4131825098707375
YAL001C,0.46178088058024913,0.3645841391612259,0.4131825098707375
YAR002W,0.46178088058024913,0.3645841391612259,0.4131825098707375
YAR002C-A,0.46178088058024913,0.3645841391612259,0.4131825098707375
YAR003W,0.46178088058024913,0.3645841391612259,0.4131825098707375
YAR014C,0.46178088058024913,0.3645841391612259,0.4131825098707375
YAR015W,0.46178088058024913,0.3645841391612259,0.4131825098707375
YAR018C,0.46178088058024913,0.3645841391612259,0.4131825098707375
YAR019C,0.46178088058024913,0.3645841391612259,0.4131825098707375
YAR020C,0.46178088058024913,0.3645841391612259,0.4131825098707375
YAR023C,0.46178088058024913,0.3645841391612259,0.4131825098707375
YAR027W,0.46178088058024913,0.3645841391612259,0.4131825098707375
YAR028W,0.46178088058024913,0.3645841391612259,0.4131825098707375
YAR029W,0.46178088058024913,0.5306714379672244,0.49622615927373676
YAR031W,0.46178088058024913,0.5306714379672244,0.49622615927373676
YAR033W,0.46178088058024913,0.5306714379672244,0.49622615927373676
YAR035W,0.6084269385875638,0.5306714379672244,0.5695491882773941
YAR035C-A,0.6084269385875638,0.5306714379672244,0.5695491882773941
YAR042W,0.6084269385875638,0.5306714379672244,0.5695491882773941
YBL107C,0.6084269385875638,0.5306714379672244,0.5695491882773941
YBL106C,0.6084269385875638,0.5306714379672244,0.5695491882773941
YBL105C,0.6084269385875638,0.5306714379672244,0.5695491882773941
YBL104C,0.6084269385875638,0.5306714379672244,0.5695491882773941
YBL103C,0.6084269385875638,0.5306714379672244,0.5695491882773941
YBL102W,0.6084269385875638,0.5306714379672244,0.5695491882773941
YBL098W,0.6084269385875638,0.5306714379672244,0.5695491882773941
YBL097W,0.6084269385875638,0.5306714379672244,0.5695491882773941
YBL095W,0.6084269385875638,0.5306714379672244,0.5695491882773941
YBL093C,0.6084269385875638,0.5306714379672244,0.5695491882773941
YBL092W,0.6084269385875638,0.5306714379672244,0.5695491882773941
YBL091C-A,0.46178088058024913,0.5306714379672244,0.49622615927373676
YBL091C,0.46178088058024913,0.5306714379672244,0.49622615927373676
YBL090W,0.46178088058024913,0.5306714379672244,0.49622615927373676
YBL089W,0.46178088058024913,0.5306714379672244,0.49622615927373676
YBL088C,0.46178088058024913,0.3645841391612259,0.4131825098707375
YBL087C,0.46178088058024913,0.3645841391612259,0.4131825098707375
YBL086C,0.46178088058024913,0.3645841391612259,0.4131825098707375
YBL085W,0.46178088058024913,0.3645841391612259,0.4131825098707375
YBL084C,0.46178088058024913,0.5306714379672244,0.49622615927373676
YBL082C,0.46178088058024913,0.5306714379672244,0.49622615927373676
YBL081W,0.46178088058024913,0.5306714379672244,0.49622615927373676
YBL080C,0.46178088058024913,0.5306714379672244,0.49622615927373676
YBL079W,0.6084269385875638,0.5306714379672244,0.5695491882773941
YBL078C,0.6084269385875638,0.5306714379672244,0.5695491882773941
YBL076C,0.6084269385875638,0.5306714379672244,0.5695491882773941
YBL075C,0.6084269385875638,0.5306714379672244,0.5695491882773941
YBL074C,0.6084269385875638,0.5306714379672244,0.5695491882773941
YBL071C-B,0.6084269385875638,0.5306714379672244,0.5695491882773941
YBL071W-A,0.6084269385875638,0.5306714379672244,0.5695491882773941
YBL069W,0.6084269385875638,0.5306714379672244,0.5695491882773941
YBL068W,0.6084269385875638,0.6967587367732226,0.6525928376803932
YBL067C,0.6084269385875638,0.6967587367732226,0.6525928376803932
YBL066C,0.6084269385875638,0.6967587367732226,0.6525928376803932
YBL064C,0.7550729965948786,0.6967587367732226,0.7259158666840506
YBL063W,0.7550729965948786,0.6967587367732226,0.7259158666840506
YBL061C,0.7550729965948786,0.6967587367732226,0.7259158666840506
YBL060W,0.7550729965948786,0.6967587367732226,0.7259158666840506
YBL059C-A,0.7550729965948786,0.6967587367732226,0.7259158666840506
YBL059W,0.7550729965948786,0.6967587367732226,0.7259158666840506
YBL058W,0.7550729965948786,0.6967587367732226,0.7259158666840506
YBL057C,0.7550729965948786,0.6967587367732226,0.7259158666840506
YBL056W,0.7550729965948786,0.6967587367732226,0.7259158666840506
YBL055C,0.7550729965948786,0.6967587367732226,0.7259158666840506
YBL054W,0.7550729965948786,0.6967587367732226,0.7259158666840506
YBL052C,0.7550729965948786,0.6967587367732226,0.7259158666840506
YBL051C,0.7550729965948786,0.6967587367732226,0.7259158666840506
YBL050W,0.7550729965948786,0.6967587367732226,0.7259158666840506
YBL049W,0.7550729965948786,0.6967587367732226,0.7259158666840506
YBL047C,0.7550729965948786,0.6967587367732226,0.7259158666840506
YBL046W,0.7550729965948786,0.6967587367732226,0.7259158666840506
YBL045C,0.6084269385875638,0.6967587367732226,0.6525928376803932
YBL044W,0.6084269385875638,0.6967587367732226,0.6525928376803932
YBL043W,0.6084269385875638,0.6967587367732226,0.6525928376803932
YBL042C,0.6084269385875638,0.6967587367732226,0.6525928376803932
YBL041W,0.6084269385875638,0.5306714379672244,0.5695491882773941
YBL040C,0.6084269385875638,0.5306714379672244,0.5695491882773941
YBL039W-B,0.6084269385875638,0.6967587367732226,0.6525928376803932
YBL039C,0.6084269385875638,0.6967587367732226,0.6525928376803932
YBL038W,0.6084269385875638,0.6967587367732226,0.6525928376803932
