,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140
78,52174,66192,60443,65661,84465,61305,96825,87985,94628,65570,71544,58382,62753,73657,88357
79,51652,65733,60805,65777,83346,61959,95831,86868,93704,65522,71097,58594,62035,73634,86994
80,52088,65945,60487,65139,82966,61680,95283,86494,92748,64836,70189,57893,62068,73001,86441
81,52762,66019,60518,65980,82783,61894,95802,86655,91654,65045,70200,57787,62246,73290,85963
82,53033,66959,61228,66224,82757,62020,95894,87471,91563,64802,71201,58399,62474,73224,86046
83,54016,66752,61736,66725,83242,62583,95941,87799,91117,65181,70507,58042,62361,73310,85754
84,54204,67739,62493,67980,83697,62937,96809,88293,91973,65267,70835,58751,63586,75091,86384
85,56267,68987,62916,69238,84582,64689,98699,90283,92621,66201,71832,59423,64369,75421,87572
86,56660,69459,64294,70139,85371,65366,99342,91083,93040,66376,72308,59391,64807,76282,87793
87,58067,70615,65091,71063,86607,66637,102026,94353,94691,67866,73645,60647,66619,77840,89000
88,59570,71974,66713,73356,88381,68110,104383,97635,96060,69786,75568,62062,68828,79830,92003
89,62157,74993,68877,76571,90968,70352,108452,100661,98543,70956,77046,63704,70182,82292,94536
90,63947,77199,71561,78518,94582,72561,112968,105504,101336,73877,79270,66021,73534,85955,98352
91,66652,79429,73518,81646,97242,74724,117327,108983,104388,76040,82138,68927,76033,88972,101302
92,68380,81283,74307,82998,98581,76779,118533,110825,105800,76949,82843,69486,77345,90683,102358
93,69405,82554,75673,83793,99045,77362,119801,111875,106177,77716,83921,70157,78951,91800,103384
94,69453,82494,75449,84321,99289,78010,119094,111749,105354,77729,83010,69608,77990,91786,102947
95,70338,82525,76301,85223,99847,78783,120065,112488,105690,78168,83952,70708,79263,91965,103326
96,71305,83920,77922,86185,101581,79444,121969,113868,105901,78667,84998,71501,80394,92733,104362
97,71815,84567,78394,87191,101704,80868,122435,115096,105449,78358,85627,72106,81498,94199,104521
98,72196,85011,78228,87849,102067,82078,122787,115395,105555,79159,85997,72242,81855,94233,104389
99,73551,86116,80124,89300,103434,82766,124753,117155,106294,80008,87452,73612,83370,95831,106085
100,75290,87479,80739,91311,105485,84808,126729,119537,107594,81747,88296,75037,84741,97316,107607
101,76646,88722,82150,92668,107106,86083,129156,122036,108479,82734,89334,75764,85456,99036,109385
102,77348,88874,82589,93422,107758,87026,130659,123158,109935,83031,90377,76373,87004,99993,109786
103,76714,89418,82794,94522,108549,87147,131607,124117,110126,84028,91001,76730,86638,100369,109348
104,77270,90224,83297,94836,108251,87932,131380,124539,109430,84352,90827,76870,87077,99895,109631
105,77642,90911,83707,95296,110235,89571,133190,125828,109949,85165,91640,77276,87434,100499,109599
106,78948,91468,84249,97577,111101,90030,135144,126886,110577,86155,92582,78542,87940,101807,111084
107,78795,91860,85049,98350,110794,90407,133600,127731,109949,86076,92730,78033,88387,101807,111061
108,79722,92225,85287,99715,112848,92345,136245,130164,111476,87102,94023,79821,89032,102563,112825
109,80969,93200,87014,101377,115046,93656,137309,131914,111406,88492,95310,80346,91146,105273,114124
110,81801,94207,87704,103338,116130,95276,140422,133366,112977,89673,97094,81909,92224,105980,115188
111,83118,96017,89177,105516,118886,97002,142869,135809,114635,91710,98896,83396,94075,108564,116832
112,85103,97388,91302,108068,121837,99935,145913,140280,117359,94994,100898,86607,96680,111638,120170
113,86684,99381,92386,109904,124465,101701,149796,144099,119355,96652,104250,88220,98544,114117,122414
114,87923,100864,94314,112537,127315,104906,152324,146776,121655,98940,105836,89748,100510,116305,125070
115,88221,101203,95015,114643,129397,106469,154957,148405,123532,100949,107666,91873,102239,118406,126363
116,88051,100999,95899,115244,129120,107847,156039,148974,122515,101446,108924,92301,102905,118915,127084
