,scale
0,1.0
10,1.0135330610950875
20,1.0795546615640246
30,1.250629788101142
40,1.4646123170848668
50,1.5385648590759273
60,1.4042610225471026
70,1.227202749896032
80,1.1445823820014527
90,1.180837571717949
100,1.2958261354206508
110,1.3992555715343926
120,1.4154924475555932
130,1.358576551575812
140,1.2964839687671676
150,1.2745601482949729
