,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150
75,44675,50898,37253,57223,35752,35606,83445,108818,36689,38080,48613,30584,42668,65626,74442,89947
76,44732,51530,38007,58212,36029,36306,83610,109166,37524,38655,49201,30752,42608,64779,74643,90233
77,45512,52013,37907,58184,36073,36386,83773,109205,37709,38686,48697,30788,42442,63853,73020,88552
78,45655,52413,39124,58925,36680,36604,84011,109619,38411,38946,49382,31008,41969,62755,73055,88164
79,46368,53263,38944,59365,37213,36866,84176,109264,38733,39238,49793,31531,41626,62981,72643,88101
80,47202,53574,39287,60108,37341,36771,83824,108949,39461,39795,49395,31149,41458,62453,72332,87201
81,47757,54110,39875,60134,37303,37208,84015,108368,40066,40002,50161,31685,41715,62886,72491,87132
82,48181,54384,40096,60901,37368,37581,83783,108487,40011,40755,50657,32342,42283,63524,73698,88091
83,48403,55237,40589,60523,37766,37670,83360,108476,40494,40152,50548,32169,42870,63891,73760,88517
84,48912,55357,40788,61602,38372,37716,83444,108398,41054,41049,51203,32761,43188,64205,75126,88710
85,49653,56415,40951,62217,39110,38335,85174,109876,41798,41714,51776,33143,43557,65708,76449,89784
86,50637,57856,41717,62658,39311,38485,84400,109548,42485,42323,52020,33136,43872,66192,77370,90612
87,51620,58051,42294,63050,39694,38946,84767,110243,43227,42838,52597,34076,44697,68091,79463,91917
88,52355,59244,43047,64324,40407,40026,86265,111918,44110,43304,53863,34807,46182,70433,82858,93971
89,53766,59685,43566,65216,40787,40017,88511,112971,44594,44327,54827,35255,47608,74471,86287,96824
90,55393,61423,44890,66256,42385,41431,90215,115607,46254,45717,55911,36498,49967,78409,91716,100731
91,57507,62638,46219,67104,42823,42319,92439,117798,47116,47049,57530,37745,52251,81653,96176,103188
92,58401,63502,46677,68916,43275,43474,93908,119782,48191,47741,59085,38213,52678,82907,97639,104888
93,59474,64657,47499,69508,43959,43741,94212,120458,48641,48136,59422,38953,53465,83962,98810,105574
94,59752,65306,47757,68993,44196,43479,93779,119823,49517,48367,59578,38813,53743,83818,98747,105670
95,60073,65865,48126,69934,44389,44034,93644,119930,49425,48944,59630,39450,53799,84104,99027,106462
