,scale
0,1.0
10,1.0537336512643578
20,1.1772379011226382
30,1.3468722198822898
40,1.45824708293716
50,1.3845037934261812
60,1.218783748422244
70,1.1430713733422007
80,1.1936468170774246
90,1.3119342338428455
100,1.3954366461895278
110,1.3800926735479306
120,1.3106357860332691
130,1.2656156255337414
140,1.2737374003709432
