,0,10,20,30,40,50,60,70,80,90,100,110,120,130,140,150
74,45807,52375,39178,59864,37335,37907,87964,115179,38692,40335,51947,31960,45496,70271,79936,95967
75,46868,53331,39204,60611,37944,38009,88447,116868,39265,40893,51977,32620,45235,69544,79051,95845
76,46671,53707,39798,61274,38078,38485,88103,116181,39886,41259,52319,32700,45157,68819,79213,95893
77,48355,54527,40257,61901,38429,38954,88837,117480,40745,41749,52656,32943,44931,67771,77384,93771
78,47933,54641,41241,62462,38933,38939,89084,117423,41138,41949,52884,33058,44781,67188,78066,94296
79,48306,55380,40850,62450,39363,39140,88671,116597,41349,42031,53230,33661,44584,67221,77778,94250
80,48993,55477,40978,63156,39340,38873,88008,115551,41922,42346,52433,32982,43909,65865,76558,92660
81,49104,55691,41301,62587,38976,38947,87292,113865,42041,42149,52734,33236,43699,65642,75909,91314
82,53114,59367,44657,68318,41797,42711,93630,124465,45528,46706,57674,36156,46450,69141,80781,97562
83,53756,60553,45519,68978,43118,43149,95263,125929,46636,46505,58387,37022,47745,71409,82485,100283
84,53088,59247,44354,67838,42260,41683,91609,121304,45889,45864,57077,36352,46819,69572,81142,96484
85,52696,59422,43739,67102,42253,41620,91657,119947,45847,45557,56527,36079,46629,70355,81565,96434
86,53463,60673,44391,67248,42292,41649,90194,118851,46147,46091,56351,35797,46415,69945,81654,96358
87,55259,61672,45341,68793,43030,42457,91909,121587,47558,47069,57506,37102,47256,71897,83884,97760
88,54942,61740,45307,68538,43040,42687,91843,120368,47374,46608,57629,37189,48426,73949,86711,98953
89,56804,62958,46599,70885,44378,43592,95798,123828,48821,48554,59922,38568,50683,79239,91663,103946
90,59528,65823,48781,73242,46700,45650,99199,130132,51450,50997,62011,40259,53171,82884,97250,108350
91,62094,67110,50444,74592,47603,46903,101516,131992,52750,52568,64049,41774,55251,85961,101191,110152
92,62124,67338,49961,74791,47080,47135,101077,130891,52761,52189,64214,41493,55269,86544,101989,110846
93,61863,67286,49776,73464,46391,46222,98864,127842,51890,51130,62813,41167,55441,86682,102075,109901
94,62270,68073,50122,73443,46857,45996,98863,127747,52780,51411,63152,41026,55685,86474,101829,109923
95,64312,69751,51465,76329,48058,47761,101109,131572,54329,53437,64598,42691,56138,87616,102893,111961
96,66324,70601,52244,78051,49352,48369,102567,134004,56230,54977,66345,43688,57339,88812,104760,113538
97,64997,70589,51532,76423,49066,48046,100775,130410,55017,53909,65258,43546,57231,88318,105176,113252
98,63603,70212,51103,75000,48071,47682,99550,128230,54849,54146,65149,42952,56576,87352,104600,112400
99,66501,71887,53127,78589,50511,49405,103116,133999,58121,55537,67447,44322,58791,90106,106636,114076
100,66937,72147,53417,77472,50341,49293,103106,132172,57339,55499,66583,44779,59366,91733,108826,115655
101,66638,71879,52643,76580,49311,48872,101948,129996,56811,55769,66595,44615,59379,92340,110543,115554
102,69622,74776,55865,81615,52613,52104,106597,138168,61136,59506,70463,47270,61189,95854,114292,119401
103,70350,76098,55989,83411,53353,53094,107090,139744,61878,59841,71592,48419,62146,97152,116317,120737
104,70473,75275,55355,81732,52920,52657,106359,136669,60992,59169,70449,47361,62540,98523,117059,120109
105,69944,74575,54475,79576,51883,50922,103724,132981,59665,58230,69455,47059,62949,99395,117937,120979
106,68560,73410,53931,77520,51104,50873,102244,129988,58544,57532,69003,46692,63451,100106,120151,120671
107,68744,73623,53340,77047,50993,51032,102738,130948,58836,57884,70281,47529,64272,100650,120242,121634
108,68827,74612,53659,77759,52028,51890,103531,131882,59775,58814,70877,48622,65535,102540,122271,124729
109,69176,74597,54114,77119,52132,51772,104221,131504,60537,59793,71647,49434,66566,104136,124927,126349
110,69963,75514,54243,79069,53042,53453,105675,132336,61121,61069,72669,50175,67420,105694,127629,127823
111,71114,76188,55161,79665,53682,54385,106565,134345,62718,62004,74103,50773,68525,108321,130064,130181
112,72212,76865,56118,80089,54438,54779,108081,135371,63213,62571,74990,51503,70750,112602,134969,132347
113,73966,78206,56159,80552,55610,56202,109620,137365,63883,63728,76304,52963,73072,116956,140000,136281
114,73880,78592,56517,81290,55308,56590,110971,138264,64660,65158,77953,54189,74979,119085,142937,139034
115,74737,78363,56502,81578,56485,57915,111923,139161,65515,66048,79538,54900,77099,122673,146980,141706
116,74447,78744,56655,80960,57126,58295,112685,140303,66135,66480,79606,56132,77972,122885,148218,142820
117,74712,79192,56901,81129,57874,59019,113754,139475,66607,67313,81115,57470,78585,124253,150877,143575
118,75124,79529,58069,82722,58602,61035,114598,142126,68683,69293,83138,59704,80403,126387,152452,146459
119,75073,80148,57987,82553,58905,61005,114578,140653,69107,70000,84282,59135,80666,127667,153962,147924
120,76053,79754,57914,83422,60058,62541,117071,142681,70154,71413,85206,60513,82140,130283,156790,149269
121,77162,80722,58935,84038,61042,63593,118158,144753,71005,71976,86711,61393,84067,134800,161237,153600
122,79225,81943,59619,84821,62036,65254,121714,147484,73421,74198,89461,63395,86957,140501,169113,157068
123,80994,83665,60676,86861,63626,67062,125745,151917,75382,76549,92170,66109,91139,148893,177956,164894
124,83256,84728,61671,88141,65367,68792,128982,155523,76398,79373,95794,68336,96616,157164,188378,171993
125,84872,85646,62921,89891,68047,71673,132715,160374,79991,82715,99919,71719,101381,166166,198940,179321
126,87612,87608,64743,92539,70922,75047,139114,165912,82937,85852,104180,74657,106418,173609,209393,188284
127,90197,90291,66548,95819,73250,78824,144016,171389,85969,89652,108656,78810,111373,182691,219472,195931
128,92237,92159,68103,97360,75564,79882,147728,175569,88950,91731,112322,81459,115178,189969,227429,203717
129,94913,94045,68996,99128,78366,83767,151692,180393,91744,95297,115667,84042,118886,195724,235265,209735
130,96470,95762,71190,101727,81414,86725,155965,183721,94636,98394,119927,87664,123411,202659,244813,217635
131,98645,97415,72732,103080,83206,90045,159905,188225,97639,102337,123843,90749,126603,206973,250465,223649
132,101747,98898,74463,105642,85673,93490,165739,192859,101527,105753,127810,94173,132331,215990,261181,229575
133,104893,101884,76395,108905,89351,96997,170749,198476,105466,109290,132320,98251,137945,225374,273950,239343
134,108553,104117,77764,111280,92135,100733,175399,203671,108862,113101,137527,102140,141478,233219,282853,247778
135,112311,106220,80512,115231,95393,104722,182742,211555,113090,117780,143933,106806,146492,239797,294328,255015
136,113967,107782,81995,117822,98342,109115,187649,215602,116738,121044,147892,110217,151489,247217,301330,263519
137,116205,110304,83327,119950,102858,111630,190378,218485,119831,124978,151864,113716,154558,252415,307976,269123
138,117609,111400,85050,122273,105613,115327,194370,222750,123111,128147,155139,117877,158268,257634,314743,274874
139,119204,113007,85702,123730,108213,118271,198141,226208,126827,130334,159756,120321,160328,261353,318941,277990
140,120694,113286,86712,125660,110034,119912,200523,227988,129429,133287,162027,122590,160465,260304,319892,278859
141,122263,113635,87963,127007,112327,123220,202675,230172,132511,136647,166250,125571,162362,264867,324050,283055
142,123824,114908,89014,128251,114365,125784,204122,230622,133368,138180,168149,127314,164799,268371,327750,286949
143,125381,117239,90248,129165,115763,127652,206770,232014,135656,139970,171377,129494,166435,273733,335534,290035
144,129807,119242,92808,134060,120322,131952,212118,239085,140557,145544,177575,135078,173529,286534,350135,300841
145,134945,122127,95172,137061,124661,137429,218404,244364,146027,150313,184452,139734,180890,301872,368159,314918
146,140864,125544,98553,141541,128564,142215,225823,252057,151309,156364,191032,145215,189620,317543,388582,327063
147,146733,129699,101646,146117,133515,147248,233320,259540,156609,161585,198142,150975,196977,335487,409227,342468
148,153999,135578,106165,150944,140368,153793,243169,267748,163028,168303,206389,158884,206433,354742,432280,358768
149,161131,140842,110673,157134,144982,158540,249947,275033,168705,174065,213569,165098,214231,368358,451995,373393
150,168194,145825,115566,161391,150903,164698,255975,281683,176346,180780,221117,170166,221996,380479,469700,387780
151,177359,153479,120831,168700,156387,171776,265960,289536,183250,188446,230556,177809,230986,398108,492033,405583
152,185894,160128,126300,173580,163067,177890,274820,297853,190736,196070,238780,184784,239310,409297,509381,418592
153,193784,167922,132453,181294,169111,185291,282627,306427,199730,204049,247173,193257,248081,426058,530209,435208
154,206317,176706,139176,188822,178387,194746,295166,316620,208635,213301,259269,202127,257605,444808,557231,456742
155,217805,186986,147822,198289,187745,204402,307587,329102,219770,223151,270894,212421,267688,458324,579701,476045
156,231485,198069,157154,209894,198358,214955,321095,343615,232040,235887,285037,224213,279957,479155,607025,498896
157,245684,209208,166519,221243,210540,226637,334727,356228,245409,247540,299435,237226,291141,498572,634032,523456
158,260010,220981,175199,231452,221201,237461,346752,368486,258767,258422,310643,247331,298643,509540,649754,539583
159,270675,231800,183369,242791,231858,247215,358397,380198,271488,268436,324876,257935,305059,517474,663634,553190
160,283177,242169,191806,253612,243227,259647,370013,388554,284456,280669,335318,268759,313104,526317,675628,568186
161,289356,250262,199236,259621,249219,265274,372052,392085,291134,285568,340888,273274,310479,517951,671089,565199
162,296657,257679,205001,265309,256581,272891,377430,396669,302491,292734,348485,279346,311252,517669,665832,568638
163,304344,267205,210743,273731,264149,279314,383260,402391,310763,299240,353551,286436,312351,517588,669214,574580
164,309943,272740,217278,278580,270992,285988,384832,405151,319207,304580,359937,290002,309909,507942,658021,570645
165,317188,279131,222420,286254,279100,292486,390698,409430,327516,309472,367169,295670,306997,502177,650793,570103
166,321433,284683,226662,293177,284270,298509,391332,410949,334066,312549,369010,300572,304480,495937,640881,565271
167,322028,285701,228632,292578,287427,299228,389633,408518,339226,314871,368475,301222,296912,478807,619679,554510
168,322553,286902,228970,294237,290104,300301,385028,403520,339976,314991,366191,301593,288261,464456,601498,539305
169,315820,283843,226763,291404,287844,298192,376094,393056,338437,308243,359177,297046,277985,447403,575051,521186
170,306584,276321,220798,283234,281818,289719,362247,378790,329952,300574,347934,289137,264427,425542,546408,499893
171,296423,268161,216215,273940,275003,284376,350142,363918,323000,291642,337748,279781,252267,404701,518547,476569
172,284462,260046,209973,264818,267407,276635,336085,349410,312383,281787,327220,271036,241173,390005,496896,460310
173,273888,252095,203803,256566,260302,268257,322118,334354,303229,272378,315986,262317,230298,369796,469489,438827
174,267280,245857,199864,251118,256361,264292,313677,325930,298473,267895,308438,257898,221951,358746,451266,425589
175,264526,244858,199469,248590,256654,263000,307622,318423,297281,266153,304810,255279,216863,348660,436954,415655
176,256779,238703,195208,242318,251190,256716,295889,304126,290440,258003,295653,248345,205586,329341,414572,397072
177,254068,235780,193795,239585,250980,254299,290762,300282,287232,254773,290730,245930,199218,320576,400170,385667
178,249684,232930,190783,236183,248446,252204,284235,292994,284192,249660,285501,240644,192792,307951,385373,375208
179,240159,226128,186029,229724,241642,243850,273145,280964,276740,242465,274784,234632,182950,292008,364762,356488
180,232693,219801,181581,223027,235983,239273,263482,270744,269961,236439,267152,228540,175066,280227,348461,342147
181,225897,213923,178086,218117,231931,233920,255390,262723,264765,229865,259981,222026,168298,269291,333490,329984
182,217424,206568,172701,210151,224349,225848,242684,249775,255461,221407,250180,214519,159303,256134,315009,313357
183,209838,201276,167453,203446,218734,220473,233836,239502,248413,214699,242333,206746,151625,243523,299849,299638
184,202225,193063,163749,196479,212594,213617,224765,229828,240899,207386,234174,200805,146210,234610,286734,286799
185,195658,188011,158511,189520,205217,206314,214171,219115,233423,200024,223745,193888,138110,223502,269819,272070
186,189334,180938,155283,184402,201026,200854,206870,210739,226512,195428,218161,188231,132474,213619,259915,262059
187,183628,178072,151071,178963,198259,196473,200546,202410,222357,188835,211160,183146,127420,206876,249510,252700
188,177103,172794,147141,173235,191989,191065,191551,195228,214847,183390,203572,176703,120842,196480,236008,240977
189,176317,170864,146893,171333,189925,187947,186497,189066,212553,180272,199042,174138,117124,190044,227466,233112
190,171162,166368,142833,166555,185631,182490,181001,182428,206833,175554,193824,170570,112597,183681,218627,226104
191,164239,160640,139209,159666,178981,176831,171714,173350,200922,168998,185617,163925,107929,174164,208195,214779
192,158289,155017,135101,154711,173490,171244,165388,166052,193534,162915,179189,158098,102516,168192,199438,207032
193,152721,150697,131132,149075,169728,165347,158053,158956,187374,157488,172268,152773,98115,160589,191446,197739
194,147771,145911,127714,144214,163743,160992,152688,154299,182615,152465,167092,148126,94387,155094,182310,189988
195,144983,143415,126756,141060,160351,157577,147922,149286,178401,148965,163523,144417,90582,149548,176681,183513
196,141167,140878,123653,138409,157123,153385,143037,144163,174310,145299,157763,141149,87191,144822,169605,176501
197,135522,136198,120668,133097,153315,148853,136249,138128,169266,139952,152560,136783,83671,138657,163197,170629
198,134125,133604,119076,129334,149176,145440,132760,132883,165167,136575,148316,132423,80235,133767,156338,163821
199,128974,129522,116065,125167,145149,140796,127386,127135,160867,132031,142991,128818,77356,129066,150770,158118
200,125045,125399,113813,120149,140748,136264,121710,121307,155121,128010,137090,124081,73913,123574,145044,150823
201,120693,122350,110130,116368,137532,131866,117368,116509,150590,124044,132006,120085,70715,119284,137708,144694
202,117185,119725,107937,113340,133762,128420,112861,112166,145777,120252,129521,117472,68924,115622,133623,140440
203,113757,116279,105591,110370,130002,124220,108980,107841,143229,116948,124159,113686,66085,112330,129110,135733
204,112647,113569,104399,106940,127332,121516,105402,104306,140281,113596,121647,110806,63713,108204,125402,130348
205,110138,111469,103153,104501,124625,118469,102166,100564,137727,112145,118300,107768,62160,106417,121844,127084
206,106654,108992,101439,101032,121024,115592,98017,97058,133676,108317,113905,105217,59613,103039,117592,122806
207,104852,106336,99232,99450,117986,112490,95408,94174,130505,105791,110391,102007,57825,100216,114861,119056
208,102698,104986,97895,96550,116052,109345,92386,91138,126803,103721,107626,99934,55429,97386,111399,115550
209,101659,103142,96915,94526,114510,107118,89255,88913,125062,101142,105916,97754,54947,94977,108321,112484
210,98612,101049,94752,91688,111335,103685,87044,86243,122432,97892,102345,95241,52534,92039,104854,108453
211,95638,97933,92767,89495,109325,101621,83756,83005,119480,95315,99849,92947,51378,90988,103018,106006
212,93577,96238,91886,87080,106375,99121,81079,79559,116373,93233,97124,90425,49503,87737,99034,102883
213,91580,94286,89710,84871,103583,96579,78759,77412,113934,90889,94141,87865,48181,86706,96880,99484
214,90386,92764,88933,82883,102482,95290,77420,75772,112661,88918,91577,86432,47563,85226,95752,98456
215,91278,92307,90078,82151,101484,94223,75498,74454,111976,88411,90925,85389,46404,83095,93280,96281
216,89021,91244,88554,80597,99049,92592,73376,72172,110175,86227,88268,83538,44870,81497,91142,93240
217,86959,89008,87672,78474,98461,91120,71496,69996,108239,84940,86022,82495,43805,80609,89111,92052
218,85910,87845,86544,77301,96494,89072,70363,68183,107869,83812,84644,81468,43266,78312,86657,89834
219,84156,86321,84780,75377,94399,86834,67912,66943,105303,81198,82456,79303,41681,77200,85141,87492
220,82293,84314,83023,72960,91600,84394,65700,63974,101754,79046,79971,77207,40639,74805,82678,84259
221,80936,83550,82084,72100,90489,83040,64247,62544,100068,78100,78040,75801,38982,73523,81000,82640
222,79047,81330,81687,69732,88941,81597,62364,60359,98643,76307,76548,74423,38539,72164,79200,81117
223,77987,80829,80549,68484,87515,79378,61101,59377,96569,74493,74218,72514,37885,70376,77918,79021
224,76634,78679,78922,66497,86148,77968,59356,57255,94703,72340,72498,71278,36629,69262,75932,76705
225,75406,76945,78272,65371,84234,75624,58220,56225,93370,71630,71236,70295,35872,67750,74704,75803
226,73834,75985,77575,63910,82991,75367,56643,54793,91789,70773,70293,68784,35249,67090,73044,73721
227,73152,74422,77097,62507,82061,73942,55247,53392,90719,69210,68580,67572,34442,66466,72002,72463
228,72686,73716,76841,61536,80868,72529,54435,52304,90062,68793,67164,66893,33834,65167,70100,71050
229,72062,73095,76387,61239,80331,72041,53574,51531,88898,66998,66053,66270,33221,64677,69885,69904
230,70537,72218,76159,60200,79595,70937,52434,50798,88744,66755,65354,65155,32680,63414,68185,68498
231,70449,71459,74956,59011,78632,69752,51093,49305,87678,65558,63697,63965,31481,61709,66583,67128
232,69802,70615,74263,58461,77704,68630,50383,48426,86677,64392,62563,62813,31036,60331,65535,65684
233,67694,68612,72758,56569,75145,67099,49092,47027,83720,62475,60787,61769,30212,59668,64311,64643
234,66787,67347,72099,55422,74897,66284,48148,45921,82754,62279,60129,60948,30448,59317,63888,63121
235,66594,67624,71755,55101,74550,65676,47582,45486,82547,61836,60471,61011,30217,59549,63596,62827
236,65270,66439,71010,53534,73601,65127,46422,44221,80669,60375,58881,59582,29285,58613,62447,61689
237,64755,65838,70952,53416,72679,63435,46048,43687,80860,59811,58165,59182,28901,58463,61908,60519
238,64300,65387,70618,52622,71912,63143,45479,43479,80290,59426,57293,58778,28840,58044,61521,60746
239,63781,64239,70494,52072,72170,63265,44659,42163,80222,59270,56968,58610,28381,57217,60743,59569
240,62374,63399,69015,50593,69817,60714,43496,41448,77716,57933,55114,57195,27654,56423,59886,58102
241,61610,62204,68759,49622,69313,60846,42787,40309,78238,56460,54524,56957,27331,56612,59450,57948
242,62268,62098,70308,50408,70811,61556,43208,40951,79857,57388,54768,57317,27767,56204,59826,57372
243,61333,61899,69635,48699,69181,60513,42349,40106,78385,56659,54250,55993,27251,55998,59269,56928
244,61316,61636,69350,49136,69612,60378,41735,39541,78117,56434,53677,56471,26768,56765,59304,57422
245,60369,60645,68598,48185,68468,59044,41671,39215,76759,55748,52546,55305,26610,55592,59015,56088
246,59782,59044,67392,47044,67446,57846,40558,38170,75330,54580,51981,54366,26278,55849,59167,55139
247,59196,59182,67152,46783,66900,57912,40327,37917,75081,53827,51260,54533,26504,56157,58424,55392
248,58949,58592,66597,45825,66804,57282,40108,37174,74898,53953,51272,53556,26287,56274,58779,55283
249,58462,57725,66763,45353,66748,56816,38931,36867,74289,53542,50637,54060,26034,56407,58999,54637
250,58412,58032,66547,45038,66126,56467,39310,36304,74659,53115,50478,53769,26012,56044,58856,54461
