name,total_reads,coverage,small_reads,nucleosomal_reads,small_proportion,peak_position,peak_height,small_fragment_peak_position,small_fragment_peak_height,small_fragment_std
oridb_43,5245,2.6225,605.649719544069,4639.350280455931,0.11547182450792544,-739,65.0,-910,7.0494448819742,1.06168234391353
oridb_44,90,0.045,21.833948518776804,68.16605148122319,0.24259942798640893,998,7.0,1000,2.192434824955536,0.17765617326254468
oridb_45,9824,4.912,820.2133259877007,9003.786674012299,0.08349077015347117,-588,131.0,-611,5.406756332978387,0.9153241439747444
oridb_46,9082,4.541,950.0694600833667,8131.930539916633,0.10461015856456361,76,67.0,-65,4.046837771398119,0.792652011279178
oridb_48,7024,3.512,752.8347496317606,6271.16525036824,0.10718034590429393,-90,42.0,46,4.434312472033165,0.7713168740038414
oridb_49,6303,3.1515,717.5368457623645,5585.4631542376355,0.11384052764752728,881,23.0,-177,2.132824904685095,0.6614755641782298
oridb_50,11862,5.931,1409.3777226945547,10452.622277305445,0.11881451042779925,990,63.0,23,5.644801169518706,1.176312863230432
oridb_51,9139,4.5695,888.509588970449,8250.49041102955,0.0972217517201498,-953,59.0,-637,6.999958659810268,0.9619577298387538
oridb_52,9802,4.901,1552.1520189312705,8249.84798106873,0.15835054263734652,-414,31.0,-397,6.169479015542847,1.1946340548995005
oridb_53,11117,5.5585,1744.5177299882052,9372.482270011795,0.15692342628300848,966,43.0,-119,7.956130860599034,1.6127869979330258
oridb_54,8314,4.157,920.2098286293085,7393.7901713706915,0.11068196158639747,-790,41.0,-163,9.473468795240361,1.174829946099723
oridb_55,17096,8.548,2774.2963347743944,14321.703665225607,0.1622775113929805,89,59.0,555,7.636516699816559,1.7804435432053565
oridb_56,9980,4.99,1306.4272504478467,8673.572749552153,0.1309045341130107,-302,66.0,412,15.828134556792945,1.8500395754183683
oridb_57,7527,3.7635,833.6977111194008,6693.302288880599,0.11076095537656447,87,37.0,378,10.563060936000152,1.250935534695945
oridb_58,5340,2.67,717.5418225921823,4622.458177407818,0.13437112782625135,-93,45.0,111,5.98933172341792,0.963141311030917
oridb_59,10578,5.289,1222.8814655935714,9355.118534406429,0.11560611321550117,248,52.0,-53,8.649704816787649,1.2611053924454665
oridb_60,7111,3.5555,682.8809491946772,6428.119050805322,0.09603163397478234,-121,40.0,-803,1.1759127066292907,0.5783860566877438
oridb_61,8895,4.4475,1022.6103537829327,7872.389646217067,0.11496462661977884,-280,82.0,1,7.35540576556312,1.1568240147200692
oridb_62,7501,3.7505,734.8853560545317,6766.114643945468,0.09797165125377039,-328,44.0,-72,2.575276431625359,0.712476166532908
oridb_63,8580,4.29,905.8898616702346,7674.1101383297655,0.1055815689592348,537,82.0,393,16.365635306500593,1.5665388210561737
oridb_64,4080,2.04,362.41466480456,3717.58533519544,0.08882712372660785,895,23.0,-899,1.2651906169871168,0.39944553667087696
oridb_65,7504,3.752,685.8651435856855,6818.1348564143145,0.0913999391771969,-859,53.0,61,3.134782202061666,0.699356372457925
oridb_66,5669,2.8345,770.4743182930936,4898.525681706907,0.1359100931898207,-137,37.0,-5,6.415647674786536,0.9929348068746878
oridb_67,8735,4.3675,860.471763674514,7874.528236325486,0.09850850185169022,-436,56.0,-145,4.196496717814233,0.8475226664748478
oridb_68,11663,5.8315,1577.3126439889081,10085.687356011093,0.13524073085731872,845,129.0,519,20.456306915629963,2.293841325774064
oridb_69,9601,4.8005,966.8755168855035,8634.124483114496,0.10070570949750063,828,40.0,834,10.032215145002677,1.3790662075266316
oridb_70,9338,4.669,888.8103827878879,8449.189617212112,0.09518209282371898,-961,37.0,49,4.403048095777443,0.7315592981034104
oridb_71,6827,3.4135,584.8674733493676,6242.132526650632,0.08566976319750515,-759,39.0,85,1.670963714379876,0.5365856386381216
oridb_72,6519,3.2595,811.3140175860233,5707.6859824139765,0.12445375327289819,-649,51.0,-170,8.764519779948621,1.2460051962306735
oridb_73,8850,4.425,1197.839095390912,7652.160904609088,0.13534905032665673,-101,55.0,52,18.12676909450311,1.9996411346733431
oridb_74,10227,5.1135,1169.9135691586648,9057.086430841335,0.1143945995070563,6,96.0,-614,19.71744006756206,2.1590771164047498
oridb_75,10264,5.132,1169.368070423144,9094.631929576855,0.11392907934753936,461,102.0,583,26.129808837834794,2.2063912116532394
oridb_76,9427,4.7135,1354.4004809628486,8072.599519037151,0.14367248127324161,718,81.0,862,28.803385436616924,2.5492370975301024
oridb_77,8003,4.0015,1611.4797889425354,6391.520211057465,0.20135946381888484,888,62.0,888,21.191408317528385,2.9207756024922147
oridb_78,8451,4.2255,886.3269400003564,7564.673059999644,0.10487835049110833,160,53.0,-207,5.084402409500868,1.0051979154397297
oridb_79,8392,4.196,961.2133642211771,7430.7866357788225,0.11453924740481139,-174,84.0,107,8.96586297709343,1.2475419035940685
oridb_80,9079,4.5395,1034.9167476915568,8044.083252308443,0.11399016936794325,252,38.0,522,4.53555699342766,0.9643984087158513
oridb_81,11062,5.531,1617.8396971875698,9444.16030281243,0.14625200661612456,741,52.0,610,8.625892319650976,1.7001338993364468
oridb_82,9005,4.5025,831.6822317336189,8173.317768266381,0.09235782695542687,116,28.0,79,9.72657152942535,1.1187295438093834
oridb_83,7830,3.915,868.448661972054,6961.551338027946,0.11091298364904904,-586,28.0,-306,4.891223304057264,0.8715297545888938
oridb_84,45,0.0225,11.735331719843295,33.264668280156705,0.260785149329851,708,6.0,708,0.762701066920002,0.09986162465671448
oridb_85,5439,2.7195,573.5986797532416,4865.401320246759,0.10546031986638014,127,47.0,162,2.225733727316691,0.6298459636411007
oridb_86,4948,2.474,381.8252687798033,4566.174731220197,0.07716759676228846,-371,57.0,-644,2.1453124214638235,0.524459565433506
oridb_87,2403,1.2015,709.7281251696053,1693.2718748303946,0.29535086357453405,20,66.0,9,21.47322499147235,2.1678587693621734
oridb_88,899,0.4495,137.45680879439175,761.5431912056083,0.15289967607830005,-890,14.0,-992,4.263022023195498,0.4456518332906707
oridb_89,8986,4.493,1218.1111138877252,7767.888886112275,0.13555654505761464,320,67.0,-1,7.799901501841019,1.2931706713067894
oridb_90,9177,4.5885,1245.6053265678684,7931.394673432132,0.13573121135097183,-181,67.0,-502,7.799901501841019,1.2831572374253903
oridb_91,8861,4.4305,1232.5103168769792,7628.489683123021,0.13909381750106978,-277,67.0,-598,7.799901501841019,1.2810255967621424
oridb_92,13695,6.8475,2527.574688160771,11167.42531183923,0.18456186112893547,998,94.0,858,18.409690627154276,2.573055960314671
oridb_93,12296,6.148,1387.664731665657,10908.335268334344,0.11285497167092201,-771,66.0,-607,9.301580169724602,1.4267205579743907
oridb_94,6673,3.3365,608.6177780754689,6064.382221924531,0.09120602099137852,-517,31.0,-880,2.520388571399837,0.5893436613669453
oridb_95,12057,6.0285,1278.2339271023675,10778.766072897633,0.10601591831320954,-217,70.0,60,6.8680040267669185,1.399938165651715
oridb_96,9518,4.759,1142.5699686900693,8375.43003130993,0.12004307298697933,-914,46.0,-157,6.151478003792487,1.1755966708810563
oridb_97,14014,7.007,1317.2072040742628,12696.792795925738,0.09399223662582153,-167,120.0,-21,13.927219743925567,1.565929745671932
oridb_98,13680,6.84,1420.3398107623068,12259.660189237693,0.10382600955864815,-258,49.0,-146,8.0746578200261,1.2491658976507054
oridb_99,14444,7.222,1801.550702094306,12642.449297905694,0.12472657865510288,-494,74.0,-352,6.752841901906636,1.5394604020326472
oridb_101,9707,4.8535,1295.126237608968,8411.873762391031,0.13342188499113714,386,64.0,1000,7.858262463862662,1.232601651771308
oridb_102,11959,5.9795,1541.214632473494,10417.785367526507,0.1288748751963788,-202,62.0,-47,13.93672866806927,1.6735784370833648
oridb_103,13342,6.671,1289.0437972411983,12052.956202758802,0.09661548472801666,-116,83.0,-4,8.259024004739405,1.3000746195717814
oridb_104,9825,4.9125,1282.6793121329465,8542.320687867053,0.13055260174381134,130,90.0,274,20.11118423996364,1.986064033662827
oridb_105,7363,3.6815,864.3768533567263,6498.623146643274,0.11739465616687848,3,67.0,3,15.4870083294254,1.6635060654616471
oridb_106,9586,4.793,1180.2546441487689,8405.745355851232,0.12312274610356445,96,50.0,-279,5.677032928810624,1.0919684716438651
oridb_107,39,0.0195,0.22010484699107372,38.77989515300893,0.0056437140254121465,998,7.0,-545,0.02918615795072223,0.004905061223632336
oridb_108,8169,4.0845,918.070862879963,7250.929137120037,0.11238473042966862,891,64.0,-227,9.68367009151647,1.1453135313239478
oridb_109,8110,4.055,803.8591229321898,7306.14087706781,0.09911949727893833,265,62.0,104,8.686148341638615,1.167791864357623
oridb_110,12811,6.4055,2043.7325436681622,10767.267456331838,0.15952950930201876,154,95.0,18,24.850557358294186,3.2777518144497075
oridb_111,7446,3.723,900.4964014875214,6545.503598512479,0.12093693278102624,302,106.0,165,10.480572903365992,1.2559857328597217
oridb_112,10742,5.371,1259.8005241661433,9482.199475833857,0.11727802310241513,118,53.0,-10,6.329816086003877,1.0942302808555397
oridb_113,6444,3.222,930.5547840427156,5513.445215957285,0.14440639106808126,-42,76.0,-42,21.665698341825326,2.2543277020907526
oridb_114,12558,6.279,1749.1261457313303,10808.87385426867,0.13928381475802917,165,63.0,12,19.3440129576239,2.076582142064448
oridb_115,8610,4.305,1032.748705900298,7577.251294099702,0.1199475848896978,-553,114.0,-144,5.304812856033985,1.0952188611708116
oridb_116,3213,1.6065,400.79370348329667,2812.2062965167033,0.12474127092539579,-180,49.0,3,5.00102790540679,0.7661786433957587
oridb_117,86,0.043,37.613365575958944,48.386634424041056,0.4373647159995226,-814,6.0,-813,1.4958939605372064,0.16694321095106204
oridb_118,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0
oridb_119,185,0.0925,4.045927401767722,180.95407259823227,0.021869877847393093,922,16.0,1000,0.1738700466337449,0.03218467653496804
