Stage,Iteration,Time,Score
SimAnneal,0,0.977681167,-4472675.380088429
SimAnneal,10,3.224519583,-4338038.897987941
SimAnneal,20,5.020463792,-4329056.8799831215
SimAnneal,30,6.078318708,-4313525.958998599
SimAnneal,40,7.261690083,-4312418.095554276
SimAnneal,50,8.973385417,-4311047.7767253015
SimAnneal,60,10.85782625,-4310493.2179756
SimAnneal,70,12.662020833,-4309075.071030238
SimAnneal,80,14.387458292,-4308445.946915381
SimAnneal,90,16.321088708,-4308273.6232418725
BurnIn,100,18.146651083,-4307730.078073185
BurnIn,110,19.940965333,-4307668.533955962
BurnIn,120,21.700606583,-4306596.166841789
BurnIn,130,23.544482667,-4305614.751536097
BurnIn,140,25.396137,-4304837.045553087
BurnIn,150,27.494047958,-4304309.708251365
BurnIn,160,29.4558435,-4302415.908216227
BurnIn,170,31.533055,-4301199.996435557
BurnIn,180,33.755713208,-4299539.399650549
BurnIn,190,35.772280833,-4298589.683101326
BurnIn,200,37.727151417,-4296940.734304656
BurnIn,210,39.642503417,-4296202.155629978
BurnIn,220,41.662974125,-4296074.57908412
BurnIn,230,43.593419833,-4295820.161557278
BurnIn,240,45.527407875,-4295560.947099673
BurnIn,250,47.40424625,-4295474.094818243
BurnIn,260,49.265905417,-4295317.514056902
BurnIn,270,51.160330125,-4295320.567301201
BurnIn,280,53.054891458,-4295292.4555873275
BurnIn,290,54.967392167,-4295290.429892254
BurnIn,300,56.974545583,-4295290.341504995
BurnIn,310,58.950273833,-4295283.724509185
BurnIn,320,60.835929667,-4295267.86390064
BurnIn,330,62.756705792,-4295254.2359006265
BurnIn,340,64.607620042,-4295256.279837731
BurnIn,350,66.634319167,-4295248.770144165
BurnIn,360,68.555422708,-4295245.954333202
BurnIn,370,70.428761958,-4295237.521587071
BurnIn,380,72.398721417,-4295230.6373073375
BurnIn,390,74.274524417,-4295221.493360746
BurnIn,400,76.107199458,-4295217.377306394
BurnIn,410,78.012183833,-4295216.170648297
BurnIn,420,79.986203292,-4295215.73456096
BurnIn,430,81.829196375,-4295214.837587487
BurnIn,440,83.672557375,-4295209.93633835
BurnIn,450,85.601588708,-4295201.777884675
BurnIn,460,87.469794875,-4295207.866052217
BurnIn,470,89.316865708,-4295195.608639676
BurnIn,480,91.289507917,-4295191.2737981975
BurnIn,490,93.191968458,-4295189.200494285
BurnIn,500,95.056164583,-4295187.770243058
BurnIn,510,96.953631875,-4295189.448648539
BurnIn,520,98.8266085,-4295190.437437993
BurnIn,530,100.625205583,-4295192.301428219
BurnIn,540,102.506233375,-4295198.833218552
BurnIn,550,104.336068667,-4295191.418479884
BurnIn,560,106.384272292,-4295186.606154588
BurnIn,570,108.250212833,-4295188.451891648
BurnIn,580,110.144399208,-4295188.281597941
BurnIn,590,112.199138208,-4295186.26408585
BurnIn,600,115.148002667,-4294929.688396273
BurnIn,610,122.110519625,-4266473.337071841
BurnIn,620,128.864755875,-4247977.869107284
BurnIn,630,135.554867958,-4237425.436576859
BurnIn,640,141.91764075,-4228409.957886459
BurnIn,650,148.175468417,-4223612.253190013
BurnIn,660,154.640840708,-4217081.375160639
BurnIn,670,160.742755375,-4209268.296820192
BurnIn,680,166.865718875,-4203509.198568219
BurnIn,690,172.957926167,-4200598.185963604
BurnIn,700,179.109219708,-4195762.36399301
BurnIn,710,185.207324708,-4189822.184965541
BurnIn,720,191.349747042,-4187049.756674964
BurnIn,730,197.5268355,-4186751.497344391
BurnIn,740,203.631095875,-4185925.7743077124
BurnIn,750,209.782734458,-4184029.0808420186
BurnIn,760,215.914131083,-4182489.351153836
BurnIn,770,222.052121333,-4181010.1384937745
BurnIn,780,228.22578225,-4179465.95724318
BurnIn,790,234.365987667,-4178119.334941834
BurnIn,800,240.5423555,-4177764.8528918917
BurnIn,810,246.666732042,-4176856.7732979697
BurnIn,820,252.829022,-4176219.348383813
BurnIn,830,258.980439625,-4175689.09530516
BurnIn,840,265.110366375,-4174929.0950436313
BurnIn,850,271.357213375,-4174448.5927414554
BurnIn,860,277.526858667,-4173334.9029857526
BurnIn,870,284.206848292,-4172410.4399794294
BurnIn,880,290.542515667,-4171379.4992074547
BurnIn,890,297.111860042,-4170753.385023408
BurnIn,900,303.564914917,-4170366.085741041
BurnIn,910,310.18190575,-4169609.655752238
BurnIn,920,316.53577175,-4169114.5884720865
BurnIn,930,322.817153417,-4167761.4510622392
BurnIn,940,329.349620167,-4167322.326457774
BurnIn,950,335.6721335,-4166734.4235317893
BurnIn,960,342.057028458,-4166093.6305244714
BurnIn,970,348.484750458,-4165723.0996261914
BurnIn,980,354.952712875,-4165630.0300884224
BurnIn,990,361.469521792,-4165555.202586009
BurnIn,1000,368.105142167,-4165403.1477289405
BurnIn,1010,374.688348875,-4165278.6123618977
BurnIn,1020,381.172927208,-4165204.3433044264
BurnIn,1030,387.633187167,-4165156.54119577
BurnIn,1040,394.072536958,-4165026.17824122
BurnIn,1050,400.810050542,-4164905.8082466596
BurnIn,1060,407.244346833,-4164821.883723504
BurnIn,1070,413.895992,-4164761.1288752407
BurnIn,1080,420.388937,-4164733.6074661193
BurnIn,1090,427.705371167,-4164730.1330207465
Sampling,1100,434.464125458,-4164738.9167113495
Sampling,1110,441.188706875,-4164730.239021774
Sampling,1120,447.841234208,-4164741.0438311812
Sampling,1130,454.600417708,-4164737.690754367
Sampling,1140,461.184955,-4164724.8390504397
Sampling,1150,467.742192875,-4164728.004807804
Sampling,1160,474.197763292,-4164736.3152351226
Sampling,1170,480.557603,-4164733.256971401
Sampling,1180,487.251161708,-4164730.275925975
Sampling,1190,493.837907667,-4164723.937677061
Sampling,1200,500.233388,-4164729.935619526
Sampling,1210,506.686248208,-4164720.0932944953
Sampling,1220,513.084155917,-4164721.498283809
Sampling,1230,519.571520875,-4164714.010761196
Sampling,1240,526.030632042,-4164717.3640831825
Sampling,1250,532.445663583,-4164707.195359558
Sampling,1260,538.905314542,-4164707.4892160674
Sampling,1270,545.2941405,-4164693.6594933677
Sampling,1280,551.981342208,-4164695.1090858127
Sampling,1290,558.775396333,-4164689.308334544
