mu0 delta sigma0 sigmav lambda gamma1 gamma2 mua1 sigmaa1 mua2 sigmaa2 mut sigmat a10 a11 a12 a13 a14 a15 a16 a17 a18 a19 a110 a111 a112 a113 a114 a115 a20 a21 a22 a23 a24 a25 a26 a27 a28 a29 a210 a211 a212 a213 a214 a215 tau0 tau1 tau2 tau3 tau4 tau5 tau6 tau7 tau8 tau9 tau10 tau11 tau12 tau13 tau14 tau15 halted score 
-16.7273 3.8666 10.3786 0.1435 64.3408 0.0455 0.3154 7.6097 0.0065 1.0210 0.0153 -2.5012 0.0448 7.8008 7.8478 7.6379 7.6125 7.6001 7.6334 7.6027 7.5978 7.5876 7.5809 7.5506 7.5434 7.5421 7.5516 7.5426 7.5341 1.4979 0.8969 0.8888 0.9678 0.9783 0.9809 0.9945 1.0036 0.9927 0.9927 0.9954 0.9971 0.9943 0.9838 0.9776 0.9842 -2.3799 -2.3087 -2.3824 -2.6172 -2.7441 -2.7187 -2.7378 -2.5622 -2.4460 -2.5399 -2.6022 -2.6693 -2.6560 -2.5494 -2.5430 -2.6151 0.3025 -4164738.9167 
-16.7273 3.8666 10.3966 0.1438 64.3408 0.0467 0.3154 7.6070 0.0074 1.0078 0.0126 -2.4719 0.0475 7.8005 7.8486 7.6379 7.6133 7.6001 7.6319 7.6027 7.5978 7.5876 7.5809 7.5506 7.5434 7.5416 7.5529 7.5416 7.5341 1.4979 0.8969 0.8927 0.9678 0.9783 0.9826 0.9945 1.0036 0.9927 0.9923 0.9954 0.9967 0.9943 0.9838 0.9784 0.9842 -2.3799 -2.3142 -2.3824 -2.6118 -2.7441 -2.7234 -2.7378 -2.5622 -2.4460 -2.5399 -2.6022 -2.6719 -2.6560 -2.5494 -2.5430 -2.5929 0.3011 -4164732.3230 
-16.7273 3.8666 10.3966 0.1438 64.3408 0.0467 0.3154 7.6095 0.0055 1.0095 0.0170 -2.4888 0.0808 7.8005 7.8486 7.6352 7.6133 7.6002 7.6313 7.6027 7.5978 7.5876 7.5809 7.5531 7.5434 7.5416 7.5529 7.5420 7.5341 1.4979 0.9091 0.8927 0.9674 0.9783 0.9829 0.9942 1.0035 0.9927 0.9923 0.9954 0.9974 0.9943 0.9833 0.9784 0.9842 -2.3689 -2.3118 -2.3824 -2.6118 -2.7441 -2.7275 -2.7303 -2.5622 -2.4515 -2.5286 -2.6022 -2.6719 -2.6560 -2.5494 -2.5430 -2.5929 0.3011 -4164732.7217 
-16.7273 3.8666 10.3966 0.1438 64.3408 0.0467 0.3154 7.6095 0.0072 1.0110 0.0204 -2.4814 0.0464 7.8005 7.8486 7.6353 7.6133 7.6001 7.6313 7.6016 7.5984 7.5894 7.5809 7.5531 7.5436 7.5427 7.5529 7.5414 7.5341 1.4979 0.9103 0.8927 0.9674 0.9783 0.9828 0.9942 1.0020 0.9927 0.9926 0.9953 0.9974 0.9933 0.9822 0.9784 0.9842 -2.3689 -2.3118 -2.3824 -2.6118 -2.7441 -2.7275 -2.7303 -2.5622 -2.4515 -2.5286 -2.6022 -2.6719 -2.6560 -2.5465 -2.5430 -2.6196 0.3011 -4164735.5580 
-16.7273 3.8666 10.3966 0.1438 64.2199 0.0467 0.3157 7.6125 0.0057 1.0036 0.0109 -2.4981 0.0744 7.8005 7.8501 7.6353 7.6133 7.6001 7.6313 7.6016 7.5984 7.5904 7.5809 7.5531 7.5436 7.5427 7.5532 7.5414 7.5341 1.4989 0.9103 0.8941 0.9674 0.9783 0.9828 0.9940 1.0036 0.9927 0.9926 0.9953 0.9974 0.9937 0.9822 0.9790 0.9842 -2.3838 -2.3118 -2.3824 -2.6118 -2.7341 -2.7128 -2.7327 -2.5622 -2.4515 -2.5286 -2.6095 -2.6719 -2.6560 -2.5465 -2.5475 -2.6043 0.3011 -4164739.5896 
-16.8912 3.8666 10.3966 0.1438 64.2199 0.0467 0.3157 7.6085 0.0059 1.0056 0.0199 -2.4881 0.0868 7.8008 7.8486 7.6353 7.6119 7.6001 7.6313 7.6016 7.5984 7.5872 7.5809 7.5529 7.5436 7.5427 7.5531 7.5414 7.5325 1.4989 0.9177 0.8941 0.9674 0.9783 0.9828 0.9940 1.0036 0.9927 0.9926 0.9941 0.9974 0.9937 0.9827 0.9790 0.9842 -2.3798 -2.3118 -2.3824 -2.6118 -2.7341 -2.7240 -2.7327 -2.5657 -2.4515 -2.5286 -2.6095 -2.6719 -2.6560 -2.5465 -2.5475 -2.6106 0.3011 -4164728.6091 
-16.9068 3.8666 10.3966 0.1438 64.2199 0.0467 0.3157 7.6080 0.0048 1.0068 0.0166 -2.4973 0.0376 7.8008 7.8489 7.6365 7.6119 7.6001 7.6313 7.6031 7.5984 7.5872 7.5810 7.5529 7.5436 7.5427 7.5531 7.5414 7.5325 1.4989 0.9276 0.9010 0.9674 0.9790 0.9828 0.9940 1.0036 0.9927 0.9926 0.9941 0.9962 0.9935 0.9827 0.9798 0.9842 -2.3798 -2.3118 -2.3824 -2.6118 -2.7341 -2.7240 -2.7327 -2.5657 -2.4515 -2.5443 -2.6148 -2.6625 -2.6560 -2.5465 -2.5512 -2.6106 0.3035 -4164727.5647 
-16.8922 3.8666 10.3966 0.1438 64.2199 0.0467 0.3157 7.6102 0.0061 1.0097 0.0122 -2.4889 0.1103 7.7998 7.8483 7.6365 7.6119 7.6001 7.6313 7.6031 7.5966 7.5872 7.5806 7.5527 7.5436 7.5427 7.5531 7.5414 7.5325 1.4989 0.9276 0.8971 0.9664 0.9790 0.9826 0.9940 1.0037 0.9927 0.9926 0.9954 0.9962 0.9935 0.9827 0.9798 0.9842 -2.3798 -2.3118 -2.3824 -2.6118 -2.7341 -2.7240 -2.7429 -2.5657 -2.4515 -2.5415 -2.6148 -2.6625 -2.6560 -2.5465 -2.5588 -2.6106 0.3035 -4164733.6420 
-16.7430 3.8666 10.3966 0.1438 64.2199 0.0468 0.3157 7.6074 0.0068 1.0087 0.0109 -2.5140 0.0638 7.7998 7.8483 7.6365 7.6135 7.6001 7.6313 7.6021 7.5966 7.5886 7.5806 7.5514 7.5436 7.5427 7.5531 7.5414 7.5325 1.4989 0.9088 0.8971 0.9674 0.9790 0.9826 0.9940 1.0054 0.9927 0.9926 0.9954 0.9962 0.9935 0.9827 0.9798 0.9848 -2.3798 -2.3118 -2.3824 -2.6118 -2.7341 -2.7240 -2.7429 -2.5794 -2.4545 -2.5415 -2.6148 -2.6626 -2.6560 -2.5465 -2.5588 -2.6106 0.3035 -4164728.1279 
-16.8294 3.8666 10.3966 0.1438 64.2199 0.0468 0.3157 7.6100 0.0066 1.0050 0.0123 -2.4998 0.0650 7.7998 7.8483 7.6365 7.6135 7.5995 7.6319 7.6020 7.5966 7.5885 7.5806 7.5514 7.5440 7.5427 7.5521 7.5403 7.5325 1.4989 0.9088 0.8971 0.9674 0.9788 0.9821 0.9940 1.0054 0.9934 0.9926 0.9954 0.9962 0.9935 0.9834 0.9798 0.9848 -2.3798 -2.3118 -2.3824 -2.6118 -2.7341 -2.7205 -2.7451 -2.5701 -2.4545 -2.5415 -2.6167 -2.6736 -2.6560 -2.5465 -2.5588 -2.6000 0.3035 -4164729.2651 
-16.8294 3.8666 10.3966 0.1438 64.0705 0.0457 0.3157 7.6093 0.0043 1.0046 0.0151 -2.4846 0.0565 7.7998 7.8483 7.6365 7.6135 7.5995 7.6319 7.6020 7.5966 7.5885 7.5813 7.5509 7.5440 7.5427 7.5528 7.5412 7.5325 1.4989 0.9088 0.8926 0.9664 0.9788 0.9821 0.9940 1.0054 0.9934 0.9933 0.9954 0.9962 0.9935 0.9834 0.9798 0.9848 -2.3798 -2.3118 -2.3824 -2.6151 -2.7341 -2.7205 -2.7451 -2.5701 -2.4545 -2.5415 -2.6167 -2.6761 -2.6560 -2.5465 -2.5588 -2.6069 0.3035 -4164730.2390 
-16.8294 3.8666 10.3966 0.1438 64.3081 0.0457 0.3157 7.6096 0.0071 1.0064 0.0088 -2.4794 0.0535 7.7998 7.8494 7.6365 7.6141 7.6005 7.6319 7.6019 7.5966 7.5885 7.5813 7.5509 7.5440 7.5419 7.5528 7.5404 7.5325 1.4989 0.9088 0.8926 0.9664 0.9787 0.9825 0.9940 1.0054 0.9932 0.9922 0.9954 0.9962 0.9935 0.9827 0.9799 0.9858 -2.3773 -2.3118 -2.3824 -2.6151 -2.7341 -2.7205 -2.7451 -2.5735 -2.4545 -2.5462 -2.6167 -2.6761 -2.6560 -2.5465 -2.5588 -2.6069 0.3005 -4164728.9711 
-16.8294 3.8666 10.3966 0.1438 64.2573 0.0483 0.3157 7.6111 0.0051 1.0057 0.0134 -2.5186 0.0608 7.8009 7.8494 7.6357 7.6123 7.6005 7.6316 7.6019 7.5961 7.5885 7.5813 7.5522 7.5435 7.5419 7.5528 7.5404 7.5325 1.4989 0.9088 0.8926 0.9664 0.9787 0.9820 0.9939 1.0054 0.9932 0.9934 0.9954 0.9962 0.9935 0.9827 0.9807 0.9858 -2.3756 -2.3118 -2.3824 -2.6075 -2.7341 -2.7205 -2.7451 -2.5735 -2.4524 -2.5400 -2.6167 -2.6638 -2.6560 -2.5465 -2.5488 -2.6069 0.3004 -4164731.2425 
-16.8294 3.8666 10.5407 0.1438 64.2573 0.0483 0.3157 7.6105 0.0048 1.0051 0.0231 -2.4732 0.0505 7.8005 7.8496 7.6357 7.6123 7.6005 7.6315 7.6019 7.5961 7.5885 7.5813 7.5522 7.5435 7.5418 7.5528 7.5404 7.5325 1.4993 0.9186 0.8963 0.9664 0.9787 0.9824 0.9940 1.0054 0.9927 0.9934 0.9954 0.9971 0.9935 0.9827 0.9797 0.9860 -2.3800 -2.3118 -2.3824 -2.6075 -2.7341 -2.7205 -2.7423 -2.5735 -2.4524 -2.5400 -2.6167 -2.6638 -2.6560 -2.5465 -2.5488 -2.6069 0.3004 -4164730.3705 
-16.8425 3.8666 10.5407 0.1438 64.2573 0.0465 0.3150 7.6081 0.0037 0.9999 0.0362 -2.4936 0.0653 7.8005 7.8484 7.6357 7.6124 7.6005 7.6313 7.6019 7.5961 7.5876 7.5813 7.5522 7.5435 7.5418 7.5528 7.5404 7.5325 1.4993 0.9186 0.8963 0.9664 0.9785 0.9824 0.9940 1.0049 0.9932 0.9934 0.9954 0.9971 0.9935 0.9822 0.9797 0.9860 -2.3753 -2.3118 -2.3847 -2.6075 -2.7341 -2.7205 -2.7384 -2.5735 -2.4575 -2.5400 -2.6043 -2.6638 -2.6417 -2.5465 -2.5478 -2.6133 0.3008 -4164731.1423 
-16.8425 3.8666 10.5407 0.1438 64.2573 0.0465 0.3162 7.6091 0.0060 1.0041 0.0168 -2.5026 0.0416 7.8005 7.8484 7.6352 7.6124 7.6005 7.6313 7.6019 7.5961 7.5876 7.5813 7.5501 7.5432 7.5418 7.5528 7.5415 7.5325 1.4993 0.9186 0.8959 0.9664 0.9777 0.9824 0.9940 1.0049 0.9932 0.9934 0.9962 0.9971 0.9947 0.9822 0.9797 0.9860 -2.3810 -2.3118 -2.3847 -2.6075 -2.7341 -2.7205 -2.7384 -2.5735 -2.4537 -2.5400 -2.6043 -2.6638 -2.6417 -2.5465 -2.5478 -2.6133 0.3017 -4164731.0240 
