orf_name,replication_time,replication_H_index
YBR028C,9.8786,166.0
YBR029C,9.8786,166.0
YBR030W,9.8786,166.0
YBR033W,9.3734,165.0
YBR034C,8.8682,164.0
YBR035C,8.8682,164.0
YBR036C,7.3526,161.0
YBR037C,7.8578,162.0
YBR038W,7.8578,162.0
YBR039W,6.8474,160.0
YBR040W,6.8474,160.0
YBR041W,6.8474,160.0
YBR042C,5.3317,157.0
YBR043C,5.3317,157.0
YBR044C,4.8265,156.0
YBR045C,5.8369,158.0
YBR046C,5.3317,157.0
YBR047W,5.3317,157.0
YBR048W,5.3317,157.0
YBR049C,5.8369,158.0
YBR050C,6.8474,160.0
YBR052C,7.8578,162.0
YBR053C,7.8578,162.0
YBR054W,8.8682,164.0
YBR055C,10.8891,168.0
YBR056W,10.8891,168.0
YBR057C,10.8891,168.0
YBR058C,10.8891,168.0
YBR058C-A,10.8891,168.0
YBR059C,10.8891,168.0
YBR060C,10.8891,168.0
YBR061C,10.8891,168.0
YBR062C,10.8891,168.0
YBR063C,10.8891,168.0
YBR065C,9.3734,165.0
YBR066C,9.3734,165.0
YBR067C,8.363,163.0
YBR068C,5.3317,157.0
YBR069C,6.3421,159.0
YBR070C,5.8369,158.0
YBR071W,5.8369,158.0
YBR072W,5.3317,157.0
YBR072C-A,5.8369,158.0
YBR073W,5.8369,158.0
YBR074W,6.3421,159.0
YBR076W,5.3317,157.0
YBR077C,4.3213,155.0
YBR078W,4.3213,155.0
YBR079C,3.3109,153.0
YBR080C,2.8056,152.0
YBR081C,1.7952,150.0
YBR082C,1.7952,150.0
YBR083W,2.3004,151.0
YBR084W,2.3004,151.0
YBR084C-A,2.8056,152.0
YBR085W,2.8056,152.0
YBR085C-A,4.8265,156.0
YBR086C,5.8369,158.0
YBR087W,5.8369,158.0
YBR088C,6.3421,159.0
YBR089C-A,6.3421,159.0
YBR090C,7.3526,161.0
YBR091C,7.3526,161.0
YBR092C,8.363,163.0
YBR093C,8.363,163.0
YBR094W,8.8682,164.0
YBR095C,9.8786,166.0
YBR096W,9.8786,166.0
YBR097W,9.8786,166.0
YBR098W,10.3838,167.0
YBR101C,10.8891,168.0
YBR102C,11.3943,169.0
YBR103W,11.3943,169.0
YBR104W,11.3943,169.0
YBR105C,11.3943,169.0
YBR106W,11.3943,169.0
YBR107C,11.3943,169.0
YBR108W,11.3943,169.0
YBR109C,9.8786,166.0
YBR110W,9.8786,166.0
YBR111C,8.8682,164.0
YBR111W-A,8.8682,164.0
YBR112C,7.8578,162.0
YBR114W,7.3526,161.0
YBR115C,4.8265,156.0
YBR117C,4.3213,155.0
YBR118W,3.8161,154.0
YBR119W,3.8161,154.0
YBR120C,2.8056,152.0
YBR121C,2.3004,151.0
YBR122C,2.3004,151.0
YBR123C,1.7952,150.0
YBR125C,1.7952,150.0
YBR126C,1.7952,150.0
YBR127C,2.3004,151.0
YBR128C,3.8161,154.0
YBR129C,4.3213,155.0
YBR130C,4.3213,155.0
YBR131W,4.8265,156.0
YBR132C,6.3421,159.0
YBR133C,6.8474,160.0
YBR135W,6.8474,160.0
YBR136W,7.8578,162.0
YBR137W,9.3734,165.0
YBR138C,9.3734,165.0
YBR139W,9.3734,165.0
YBR140C,9.8786,166.0
YBR141C,9.8786,166.0
YBR142W,9.8786,166.0
YBR143C,9.8786,166.0
YBR145W,9.8786,166.0
YBR146W,9.8786,166.0
YBR147W,9.8786,166.0
YBR148W,9.3734,165.0
YBR149W,9.8786,166.0
YBR150C,10.3838,167.0
YBR151W,10.3838,167.0
YBR152W,10.8891,168.0
YBR153W,11.3943,169.0
YBR154C,12.9099,172.0
YBR155W,12.9099,172.0
YBR156C,12.9099,172.0
YBR157C,12.9099,172.0
YBR158W,12.4047,171.0
YBR159W,12.9099,172.0
YBR160W,13.4151,173.0
YBR161W,13.4151,173.0
YBR162C,13.4151,173.0
YBR162W-A,12.9099,172.0
YBR163W,12.9099,172.0
YBR164C,12.9099,172.0
YBR165W,12.9099,172.0
YBR166C,11.3943,169.0
YBR167C,11.3943,169.0
YBR168W,11.3943,169.0
