orf_name,replication_time,replication_H_index
YBR030W,11.9028,118.0
YBR033W,11.9028,118.0
YBR034C,10.7405,116.0
YBR035C,10.7405,116.0
YBR036C,9.5782,114.0
YBR037C,10.1593,115.0
YBR038W,10.1593,115.0
YBR039W,9.5782,114.0
YBR040W,9.5782,114.0
YBR041W,8.997,113.0
YBR042C,8.4159,112.0
YBR043C,7.8347,111.0
YBR044C,7.8347,111.0
YBR045C,8.997,113.0
YBR046C,7.8347,111.0
YBR047W,7.8347,111.0
YBR048W,7.8347,111.0
YBR049C,8.4159,112.0
YBR050C,8.997,113.0
YBR052C,10.1593,115.0
YBR053C,10.1593,115.0
YBR054W,11.3217,117.0
YBR055C,13.0652,120.0
YBR056W,13.0652,120.0
YBR057C,13.0652,120.0
YBR058C,12.484,119.0
YBR058C-A,12.484,119.0
YBR059C,13.0652,120.0
YBR060C,13.0652,120.0
YBR061C,13.6463,121.0
YBR062C,13.6463,121.0
YBR063C,13.0652,120.0
YBR065C,11.9028,118.0
YBR066C,11.9028,118.0
YBR067C,11.3217,117.0
YBR068C,8.4159,112.0
YBR069C,8.997,113.0
YBR070C,8.997,113.0
YBR071W,8.997,113.0
YBR072W,8.997,113.0
YBR072C-A,8.997,113.0
YBR073W,8.997,113.0
YBR074W,8.997,113.0
YBR076W,8.997,113.0
YBR077C,8.4159,112.0
YBR078W,8.4159,112.0
YBR079C,7.2535,110.0
YBR080C,7.2535,110.0
YBR081C,6.0912,108.0
YBR082C,6.6724,109.0
YBR083W,7.2535,110.0
YBR084W,7.2535,110.0
YBR084C-A,7.2535,110.0
YBR085W,7.2535,110.0
YBR085C-A,8.997,113.0
YBR086C,8.997,113.0
YBR087W,8.997,113.0
YBR088C,8.997,113.0
YBR089C-A,8.997,113.0
YBR090C,9.5782,114.0
YBR091C,9.5782,114.0
YBR092C,10.7405,116.0
YBR093C,10.7405,116.0
YBR094W,10.7405,116.0
YBR095C,11.9028,118.0
YBR096W,11.9028,118.0
YBR097W,11.9028,118.0
YBR098W,12.484,119.0
YBR101C,12.484,119.0
YBR102C,13.6463,121.0
YBR103W,13.6463,121.0
YBR104W,13.6463,121.0
YBR105C,13.0652,120.0
YBR106W,13.0652,120.0
YBR107C,13.6463,121.0
YBR108W,13.6463,121.0
YBR109C,11.9028,118.0
YBR110W,11.9028,118.0
YBR111C,10.7405,116.0
YBR111W-A,10.7405,116.0
YBR112C,10.1593,115.0
YBR114W,9.5782,114.0
YBR115C,7.8347,111.0
YBR117C,7.8347,111.0
YBR118W,7.2535,110.0
YBR119W,7.2535,110.0
YBR120C,7.2535,110.0
YBR121C,7.2535,110.0
YBR122C,7.2535,110.0
YBR123C,6.0912,108.0
YBR125C,6.0912,108.0
YBR126C,6.0912,108.0
YBR127C,6.6724,109.0
YBR128C,7.2535,110.0
YBR129C,7.2535,110.0
YBR130C,7.2535,110.0
YBR131W,7.8347,111.0
YBR132C,8.997,113.0
YBR133C,9.5782,114.0
YBR135W,9.5782,114.0
YBR136W,9.5782,114.0
YBR137W,11.3217,117.0
YBR138C,11.3217,117.0
YBR139W,11.3217,117.0
YBR140C,11.9028,118.0
YBR141C,11.9028,118.0
YBR142W,11.9028,118.0
YBR143C,11.9028,118.0
YBR145W,12.484,119.0
YBR146W,11.9028,118.0
YBR147W,11.9028,118.0
YBR148W,11.3217,117.0
YBR149W,11.9028,118.0
YBR150C,12.484,119.0
YBR151W,12.484,119.0
YBR152W,12.484,119.0
YBR153W,13.6463,121.0
YBR154C,15.3898,124.0
YBR155W,15.3898,124.0
YBR156C,15.3898,124.0
YBR157C,15.3898,124.0
YBR158W,15.3898,124.0
YBR159W,15.971,125.0
YBR160W,15.971,125.0
YBR161W,15.971,125.0
YBR162C,15.971,125.0
YBR162W-A,15.3898,124.0
YBR163W,15.3898,124.0
YBR164C,15.3898,124.0
YBR165W,15.3898,124.0
YBR166C,13.6463,121.0
YBR167C,13.6463,121.0
YBR168W,13.6463,121.0
YBR169C,12.484,119.0
YBR170C,11.3217,117.0
YBR171W,11.3217,117.0
YBR172C,10.7405,116.0
YBR173C,10.7405,116.0
YBR175W,10.7405,116.0
YBR176W,9.5782,114.0
YBR177C,9.5782,114.0
YBR179C,9.5782,114.0
YBR180W,9.5782,114.0
YBR181C,9.5782,114.0
YBR182C,10.1593,115.0
YBR182C-A,10.1593,115.0
YBR183W,10.1593,115.0
YBR184W,10.1593,115.0
YBR185C,9.5782,114.0
YBR186W,9.5782,114.0
YBR187W,8.997,113.0
YBR188C,8.4159,112.0
YBR189W,8.4159,112.0
YBR191W,7.2535,110.0
YBR192W,7.2535,110.0
YBR193C,7.2535,110.0
YBR194W,7.2535,110.0
