"","X0","X20","X30","X40","X50","X60","X70","X80","X90","X100","X110","X120","X130","X140","X150"
"YAL068C",1.18139229540983,0.870542428445732,0,1.0758877276083,1.02297131383795,0,0,0,0,0,0.745159712870482,0,0,0.925984457505509,0.862653829858063
"YAL067W-A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"YAL067C",310.706173692786,132.322449123751,402.972024466919,734.831317956466,322.235963858954,153.333969874917,122.745716995563,93.8574329100428,115.558200760968,129.410791709584,125.186831762241,184.120843684336,202.237601675812,174.085078011036,144.063189586297
"YAL065C",5.90696147704916,2.6116272853372,3.18135808789673,1.0758877276083,2.0459426276759,3.21679657080246,0,0,0,4.75774969520531,0.745159712870482,2.43868667131571,0.875487453142045,1.85196891501102,0
"YAL064W-B",28.353415089836,31.3395274240464,20.148601223346,18.290091369341,21.4823975905969,25.7343725664197,28.242377361811,20.8572073133429,24.2121944451552,11.4185992684927,26.0805899504669,26.8255533844728,25.3891361411193,19.4456736076157,22.4289995763096
"YAL064C-A",4.72556918163933,11.3170515697945,7.42316887175903,6.45532636564977,7.16079919686564,5.3613276180041,5.43122641573289,8.34288292533714,11.005542929616,10.4670493294517,8.94191655444578,2.43868667131571,4.37743726571022,6.48189120253856,6.90123063886451
"YAL064W",7.088353772459,4.35271214222866,5.30226347982788,2.15177545521659,9.20674182454154,9.65038971240739,2.17249056629316,6.25716219400286,3.3016628788848,3.80619975616425,6.70643741583433,3.65803000697356,7.8793870782784,3.70393783002203,2.58796148957419
"YAL063C-A",34.2603765668851,31.3395274240464,31.8135808789673,25.8213054625991,30.6891394151385,33.2402312316254,29.3286226449576,20.8572073133429,35.2177373747713,30.449598049314,29.0612288019488,30.4835833914463,22.7626737816932,32.4094560126928,26.7422687256
"YAL063C",66.1579685429506,44.3976638507323,54.0830874942444,40.8837336491152,42.9647951811938,49.3242140856378,39.1048301932768,34.4143920670157,41.8210631325409,27.5949482321908,27.5709093762078,24.3868667131571,35.0194981256818,50.0031607052975,25.8796148957419
"YAL062W",246.910989740655,262.903813390611,254.508647031738,222.708759614917,245.513115321108,201.585918436954,192.265415116944,184.586284723084,213.507532834551,221.711135796568,299.554204573934,252.404070481176,276.654035192886,346.31818710706,347.6494934328
"YAL061W",349.69211944131,233.305370823456,171.793336746423,175.369699600152,190.272664373858,191.935528724547,189.006679267505,210.657793864763,244.323053037476,190.309987808212,213.115677880958,198.75296371223,207.490526394665,245.38588123896,271.73595640529
"YAL060W",2466.74711281573,2990.31324171109,2118.78448653922,1723.57213962849,1547.75559783682,1625.55453377884,1809.6846417222,1935.54883867822,1938.07610990538,2131.47186345198,2309.99510989849,2931.30137892148,3165.76263056163,3764.12681975989,3787.91296690676
"YAL059W",476.101095050163,2225.10644710729,2522.81696370211,2649.91147309923,2629.03627656353,2417.95875571985,2180.09428327518,1943.89172160355,1786.19961747668,1770.83443655542,1833.09289366138,1618.06860641797,1287.84204357195,970.431711465773,979.112096888902
"YAL058W",962.834720759014,1374.58649451581,1225.88331653621,1192.08360218999,1206.08317901494,1213.80457271613,1215.50847184102,1158.6178662562,1246.92801392549,1215.12927215544,1267.51667159269,1285.18787578338,1188.9119613669,1259.33886220749,1204.26474648186
