"","X0","X10","X20","X30","X40","X50","X60","X70","X80","X90","X100","X120","X130","X140"
"YAL068C",4.62860277826757,4.65065600844207,4.58106422934594,4.26705475271881,4.74624667237187,4.26705475271881,4.26705475271881,4.62964064922179,4.6062300579056,4.26705475271881,4.26705475271881,4.57810870725316,4.26705475271881,4.26705475271881
"YAL067W-A",4.26705475271881,4.26705475271881,4.26705475271881,4.26705475271881,4.26705475271881,4.26705475271881,4.26705475271881,4.26705475271881,4.26705475271881,4.26705475271881,4.26705475271881,4.26705475271881,4.26705475271881,4.26705475271881
"YAL067C",8.69920980835221,7.57964346537663,8.00470439684326,9.63757445147104,9.60092648364407,7.88811477997926,7.19606222408908,7.07450457634802,6.86514411505047,7.21134871900308,7.03863114577314,7.4566712326003,7.35424544885015,7.37680334993903
"YAL065C",5.20929024517877,4.80797437331667,4.71026337077673,4.26705475271881,4.60666965327773,4.26705475271881,4.26705475271881,4.71055130334508,4.85186532046573,4.71484651991399,4.26705475271881,4.70610774939504,4.57050050901702,4.26705475271881
"YAL064W-B",5.70180009718152,5.78268127219322,5.94983858637241,5.67265391996656,5.79172128081812,5.55319909058194,5.61755317627154,5.30445463113278,5.82118772596291,5.78553208425946,5.69147364196153,5.86278265624839,5.82705540526681,5.93153140440918
"YAL064C-A",5.14153347380919,5.19345421430793,5.19487169309677,4.84408355001062,5.15365007680916,5.16431950519276,5.02530067689639,5.10769096804683,5.08862926669178,5.0966847231746,4.93788189409737,5.13538697065733,5.06130900564193,4.68590583253611
"YAL064W",5.06731858187301,5.11508076045328,5.14342534844713,5.00877521757521,5.01964891089211,4.8219860864269,4.70816403377106,5.02934308636008,5.21163593946767,4.81440097748812,4.86812399704394,4.88561943470447,5.06130900564193,4.85735578100746
"YAL063C-A",6.00787518532325,6.03846031561141,5.90152694812096,5.83215439658703,6.02139554475266,5.80502974286959,5.73668888136233,5.85208052158789,5.85163741050438,5.78553208425946,5.93730502538066,5.98161286126834,5.72433315162669,5.58296605778046
"YAL063C",6.06630492926603,6.22141835227001,6.08406678001123,6.18909965075858,5.79172128081812,5.83283141547327,5.40865370195423,5.9665132584019,5.72460445099092,5.916927164885,5.82099871177372,5.9355067951558,5.72433315162669,5.77076519720959
"YAL062W",8.27988443482372,8.06151640312667,8.13795357743568,8.16975698714613,8.14288795544581,8.1801883325924,8.21265934826721,7.10096736342248,8.07785530684674,7.96141360166931,7.91952514542966,8.11878629123878,8.07044947022901,8.26958789245191
"YAL061W",8.47051957578894,8.81321784678131,7.80513873620273,8.07785326237105,8.12073134902828,7.85230814953553,7.4750443117746,7.1959404233983,7.76472002941208,7.78178221230232,7.78640963950723,7.61210175491125,7.56009173698693,7.9242305985604
"YAL060W",11.1508300499989,11.9311608378889,11.5262297010552,11.1792852042603,10.8845486196443,10.6691524268991,10.4777091949877,10.0976112777114,10.4348484049813,10.5166084366195,10.5874342768378,10.9261634159133,11.1439207168665,11.3284044863883
"YAL059W",9.5443180632272,10.601786912878,11.0098734670248,11.1544747086701,11.1774582822696,11.1897639597758,11.1447298002075,11.2992939720891,10.8627603841243,10.7412767494712,10.8108597616533,10.671021422495,10.3136983373075,10.1325391245358
"YAL058W",10.1182763024119,10.3795524667675,10.5166285302657,10.4642078537254,10.344082993551,10.3102325997857,10.2644412929262,9.89756334309894,10.221432786022,10.1541882188854,10.247463988617,10.2911434299229,10.1441753164516,10.1544329685285
"YAL056W",11.4367652484478,11.3670281841469,11.2004601313045,11.2580128333378,11.3395988206343,11.4338971501457,11.4320145272882,11.403568860033,11.4417166341347,11.399769362112,11.4603894800723,11.552820472685,11.5282860358843,11.5272373705114
"YAL055W",8.12448080957259,7.26540266006816,7.49359869374355,7.3779375487193,7.38418609154168,7.51252368565583,7.60301643128383,7.92105055925795,7.67624188278038,7.49528175545904,7.60187988467652,7.57137935197,7.80231488673653,7.99101780982592
"YAL054C",9.29335439956446,10.4433780593443,9.37569158039848,8.52088648009192,8.43518506149409,8.28212631551336,8.11173057537937,7.77055926441631,8.18822931648923,8.02528943756823,7.8624822911986,8.05653442948608,8.0091984979396,7.92910630325554
"YAL053W",13.3152937644843,12.576552295662,12.9086332872245,12.9640812027388,12.6443333876796,12.2299274456455,12.1446763621219,11.949415936069,12.4146177500225,12.2369184069107,11.9659293827443,12.0549625016132,12.2286607491884,12.1058125106253
"YAL051W",10.7374285468942,10.7247952972044,10.6343574675849,10.5932302464511,10.6496300512242,10.7868819151164,10.8451765881322,10.7388640404725,10.6736162713348,10.6743394392854,10.6850143002067,10.7156478283897,10.8146982815885,10.6872694432641
"YAL049C",11.684911504331,11.1855485848961,11.0602417820444,10.8684270417509,10.7191707624596,10.6476971397724,10.6225439643094,10.2646755195875,10.7677519017371,10.6239401891947,10.5248873964703,10.6670401451369,10.7430944608772,10.8236285232043
"YAL048C",10.1495000775496,9.9668118223784,9.94395529105415,9.9083832825942,10.0508251310158,10.1350274524827,9.93068039614935,9.87048653034618,9.92555742135625,10.0254741441051,9.97709171293983,9.86713905519654,9.91927500726345,9.80751199492648
"YAL047C",9.15547549038418,9.89183054343331,10.0133700231628,9.86717231101105,9.65949716044127,9.66518083079181,9.49196036540489,9.73313701770601,9.63665955971255,9.59057488317884,9.50442380374748,9.5465518172721,9.65114797015229,9.55340449008449
"YAL046C",9.13063296937082,9.17671278924986,9.52492712223124,9.57790248114286,9.60490613778348,9.41982097491636,9.34666280207029,8.77292734122283,9.51747933702375,9.40593291992821,9.47032436117513,9.39101557613847,9.20076403824388,9.42198930427733
"YAL044W-A",9.80777125590792,9.72204009563996,9.84252063313138,9.64697169657776,9.68039028830189,9.42184600546785,9.33454255124104,9.06115838755034,9.44182042650841,9.46059875996235,9.29242145766829,9.34587301909694,9.42025475207561,9.39770648433456
"YAL044C",10.1980929830264,10.0933947058974,10.166100821666,10.2614259237059,10.3345317817797,10.2904308394691,9.78989699101577,8.44027984464781,9.76635485544037,9.96060275312042,10.2138687937373,10.2901082741934,10.3405869980372,10.508606371692
"YAL043C",11.4506164745043,11.255901719933,11.2144278847206,11.3407907077269,11.4663390813255,11.421814951216,11.3074368645052,10.5190693901772,11.3764961255367,11.3359768240035,11.3320190534615,11.4095913964767,11.3671938902151,11.1243669828633
"YAL042W",12.4948815283339,12.4353258417122,12.666576328617,12.6210972754062,12.7859412040887,12.7433811126456,12.7148925653757,11.062509115329,12.8556282466965,12.8367946295249,12.8340958566286,12.8777660716034,12.7932735018414,12.8530166549096
"YAL041W",11.6634463660525,11.2823165951426,11.2370461963543,11.3597644493128,11.4426442597177,11.5033841907351,11.425368687044,11.4277808638854,11.5088869013,11.4599025658518,11.5730553144433,11.6272397530566,11.5955946867658,11.5658605576562
"YAL040C",11.2876025166674,11.0625508539174,10.5381148859193,10.774708102314,10.9679844011142,11.2722678287894,11.2047304260647,11.0793185303827,10.84021968895,10.6627361601352,10.7303558086229,11.0351971728595,10.7220702296699,9.74015253563479
