                 mean         2.5%        97.5%     accept. rate
       mu0     -25.9073     -26.1639     -25.5868       0.3500
     delta       6.2262       5.4809       6.6580       0.3050
    sigma0      11.1201      11.0073      11.2066       0.2900
    sigmav       0.1435       0.1409       0.1463       0.3350
    lambda      69.2121      68.8890      69.5275       0.3500
    gamma1       0.0166       0.0124       0.0214       0.4300
    gamma2       0.2648       0.2616       0.2697       0.2600
      mua1       7.7386       7.7372       7.7398       1.0000
   sigmaa1       0.0025       0.0014       0.0062       1.0000
      mua2       1.0166       0.9988       1.0377       1.0000
   sigmaa2       0.0319       0.0169       0.0606       1.0000
       mut      -2.4757      -2.5071      -2.4439       1.0000
    sigmat       0.0678       0.0354       0.1346       1.0000
       a10       7.9102       7.9094       7.9115       0.3000
       a11       7.7798       7.7789       7.7809       0.3750
       a12       7.7746       7.7733       7.7767       0.4450
       a13       7.7472       7.7456       7.7491       0.4050
       a14       7.7317       7.7300       7.7334       0.2750
       a15       7.7352       7.7332       7.7369       0.2750
       a16       7.7337       7.7308       7.7353       0.3300
       a17       7.7016       7.7004       7.7029       0.5600
       a18       7.7218       7.7197       7.7234       0.3500
       a19       7.7406       7.7377       7.7435       0.2550
      a110       7.6940       7.6909       7.6965       0.3150
      a111       7.7238       7.7210       7.7262       0.3900
      a112       7.7067       7.7051       7.7081       0.3500
      a113       7.6924       7.6904       7.6949       0.5200
      a114       7.6992       7.6966       7.7015       0.5050
      a115       7.7321       7.7297       7.7342       0.2150
       a20       1.4988       1.4967       1.4999       0.2650
       a21       1.4847       1.4394       1.4999       0.3150
       a22       0.8745       0.8648       0.8859       0.4450
       a23       0.8767       0.8736       0.8817       0.2550
       a24       0.9621       0.9605       0.9644       0.2850
       a25       0.9682       0.9661       0.9715       0.3950
       a26       0.9669       0.9652       0.9701       0.3700
       a27       0.9775       0.9764       0.9786       0.3200
       a28       0.9929       0.9912       0.9950       0.3350
       a29       0.9700       0.9663       0.9727       0.2400
      a210       0.9492       0.9459       0.9537       0.3000
      a211       0.9685       0.9652       0.9725       0.4200
      a212       0.9775       0.9761       0.9789       0.3650
      a213       0.9776       0.9752       0.9799       0.2700
      a214       0.9757       0.9732       0.9790       0.3300
      a215       0.9587       0.9564       0.9612       0.4250
      tau0      -2.4495      -2.4581      -2.4410       0.2700
      tau1      -2.4484      -2.4557      -2.4396       0.3900
      tau2      -2.4410      -2.4535      -2.4300       0.4150
      tau3      -2.3832      -2.3988      -2.3694       0.2350
      tau4      -2.6829      -2.6959      -2.6747       0.2750
      tau5      -2.7575      -2.7692      -2.7460       0.2650
      tau6      -2.7337      -2.7473      -2.7221       0.3350
      tau7      -2.7434      -2.7527      -2.7349       0.2700
      tau8      -2.5583      -2.5693      -2.5487       0.5600
      tau9      -2.3432      -2.3544      -2.3314       0.3350
     tau10      -2.3134      -2.3232      -2.2996       0.3450
     tau11      -2.5832      -2.5979      -2.5683       0.3300
     tau12      -2.6413      -2.6495      -2.6320       0.2750
     tau13      -2.6312      -2.6417      -2.6218       0.2950
     tau14      -2.5411      -2.5511      -2.5278       0.4550
     tau15      -2.5069      -2.5171      -2.4951       0.2600
    halted       0.2243       0.2205       0.2300       0.3050
 posterior-3897385.3210-3897398.4153-3897374.9086
