mu0 delta sigma0 sigmav lambda gamma1 gamma2 mua1 sigmaa1 mua2 sigmaa2 mut sigmat a10 a11 a12 a13 a14 a15 a16 a17 a18 a19 a110 a111 a112 a113 a114 a115 a20 a21 a22 a23 a24 a25 a26 a27 a28 a29 a210 a211 a212 a213 a214 a215 tau0 tau1 tau2 tau3 tau4 tau5 tau6 tau7 tau8 tau9 tau10 tau11 tau12 tau13 tau14 tau15 halted score 
-25.6166 5.7355 11.1972 0.1428 69.3899 0.0214 0.2684 7.7378 0.0018 1.0106 0.0244 -2.4845 0.0496 7.9091 7.7808 7.7742 7.7471 7.7321 7.7330 7.7308 7.7017 7.7198 7.7404 7.6952 7.7227 7.7065 7.6933 7.6977 7.7302 1.4998 1.4893 0.8705 0.8757 0.9624 0.9701 0.9703 0.9779 0.9950 0.9702 0.9476 0.9697 0.9780 0.9775 0.9776 0.9596 -2.4433 -2.4438 -2.4415 -2.3848 -2.6747 -2.7549 -2.7362 -2.7501 -2.5693 -2.3446 -2.3136 -2.5895 -2.6451 -2.6291 -2.5432 -2.5020 0.2217 -3897395.1993 
-25.6166 5.7355 11.1884 0.1431 69.3899 0.0214 0.2684 7.7376 0.0039 1.0160 0.0379 -2.4751 0.0607 7.9095 7.7801 7.7741 7.7471 7.7322 7.7330 7.7312 7.7017 7.7205 7.7392 7.6952 7.7227 7.7065 7.6934 7.6977 7.7318 1.4982 1.4470 0.8705 0.8757 0.9619 0.9701 0.9694 0.9779 0.9950 0.9702 0.9476 0.9690 0.9780 0.9775 0.9771 0.9596 -2.4433 -2.4502 -2.4535 -2.3848 -2.6747 -2.7549 -2.7362 -2.7501 -2.5693 -2.3393 -2.3136 -2.5895 -2.6451 -2.6291 -2.5432 -2.5020 0.2217 -3897394.4481 
-25.6026 5.7355 11.1884 0.1431 69.3899 0.0214 0.2684 7.7377 0.0023 0.9941 0.0345 -2.4807 0.0549 7.9095 7.7788 7.7739 7.7471 7.7322 7.7330 7.7312 7.7019 7.7205 7.7392 7.6952 7.7239 7.7065 7.6934 7.6969 7.7318 1.4982 1.4470 0.8705 0.8757 0.9619 0.9703 0.9694 0.9779 0.9933 0.9702 0.9476 0.9690 0.9774 0.9775 0.9781 0.9591 -2.4433 -2.4502 -2.4535 -2.3848 -2.6726 -2.7549 -2.7362 -2.7355 -2.5697 -2.3357 -2.3136 -2.5895 -2.6423 -2.6291 -2.5432 -2.5020 0.2217 -3897398.4153 
-25.6026 5.7355 11.1884 0.1430 69.5275 0.0213 0.2684 7.7371 0.0065 1.0073 0.0369 -2.5014 0.0854 7.9095 7.7786 7.7744 7.7471 7.7322 7.7330 7.7312 7.7020 7.7206 7.7392 7.6952 7.7239 7.7065 7.6934 7.6969 7.7318 1.4982 1.4394 0.8705 0.8765 0.9619 0.9705 0.9691 0.9771 0.9934 0.9702 0.9476 0.9690 0.9774 0.9762 0.9781 0.9591 -2.4433 -2.4430 -2.4535 -2.3848 -2.6765 -2.7634 -2.7362 -2.7355 -2.5697 -2.3357 -2.3073 -2.5895 -2.6423 -2.6291 -2.5432 -2.5020 0.2217 -3897400.6626 
-25.5868 5.7355 11.1475 0.1430 69.5275 0.0213 0.2684 7.7392 0.0024 1.0298 0.0430 -2.4741 0.0427 7.9095 7.7786 7.7740 7.7460 7.7322 7.7330 7.7312 7.7019 7.7226 7.7402 7.6952 7.7230 7.7065 7.6934 7.6969 7.7325 1.4989 1.4394 0.8705 0.8765 0.9619 0.9702 0.9691 0.9771 0.9934 0.9702 0.9477 0.9690 0.9773 0.9762 0.9781 0.9591 -2.4433 -2.4430 -2.4473 -2.3848 -2.6877 -2.7634 -2.7379 -2.7355 -2.5697 -2.3357 -2.3073 -2.5928 -2.6423 -2.6291 -2.5432 -2.5020 0.2217 -3897399.7384 
-25.5868 5.6378 11.1475 0.1430 69.5275 0.0213 0.2684 7.7375 0.0031 1.0166 0.0160 -2.4643 0.0499 7.9104 7.7786 7.7736 7.7466 7.7322 7.7341 7.7312 7.7018 7.7226 7.7402 7.6946 7.7229 7.7065 7.6936 7.6969 7.7317 1.4965 1.4432 0.8705 0.8765 0.9619 0.9697 0.9692 0.9768 0.9937 0.9702 0.9477 0.9697 0.9773 0.9762 0.9781 0.9591 -2.4433 -2.4430 -2.4473 -2.3882 -2.6877 -2.7556 -2.7379 -2.7449 -2.5606 -2.3357 -2.3073 -2.5928 -2.6402 -2.6270 -2.5483 -2.5020 0.2241 -3897395.9156 
-25.5868 5.6378 11.1842 0.1430 69.3964 0.0203 0.2684 7.7396 0.0018 1.0128 0.0183 -2.4588 0.0969 7.9104 7.7794 7.7735 7.7466 7.7322 7.7341 7.7312 7.7018 7.7226 7.7402 7.6946 7.7229 7.7068 7.6936 7.6971 7.7317 1.4965 1.4531 0.8705 0.8773 0.9619 0.9697 0.9697 0.9764 0.9937 0.9702 0.9477 0.9697 0.9773 0.9762 0.9781 0.9591 -2.4540 -2.4430 -2.4473 -2.3882 -2.6877 -2.7556 -2.7335 -2.7449 -2.5677 -2.3357 -2.3073 -2.5928 -2.6402 -2.6270 -2.5446 -2.5076 0.2241 -3897392.8354 
-25.5868 5.7586 11.1842 0.1430 69.3964 0.0203 0.2684 7.7377 0.0063 1.0052 0.0369 -2.4663 0.0643 7.9093 7.7794 7.7735 7.7466 7.7322 7.7341 7.7306 7.7021 7.7212 7.7402 7.6946 7.7229 7.7075 7.6940 7.6971 7.7317 1.4998 1.4758 0.8716 0.8773 0.9619 0.9695 0.9697 0.9764 0.9937 0.9691 0.9477 0.9697 0.9769 0.9762 0.9781 0.9591 -2.4518 -2.4430 -2.4434 -2.3882 -2.6877 -2.7602 -2.7481 -2.7449 -2.5677 -2.3413 -2.3073 -2.5928 -2.6402 -2.6259 -2.5446 -2.5076 0.2241 -3897393.2029 
-25.5868 5.7586 11.1970 0.1430 69.4162 0.0203 0.2684 7.7384 0.0014 1.0250 0.0191 -2.4819 0.1002 7.9105 7.7794 7.7743 7.7472 7.7321 7.7341 7.7314 7.7021 7.7212 7.7421 7.6946 7.7229 7.7075 7.6940 7.6973 7.7317 1.4998 1.4717 0.8716 0.8773 0.9619 0.9695 0.9699 0.9764 0.9937 0.9691 0.9481 0.9697 0.9769 0.9762 0.9781 0.9591 -2.4518 -2.4430 -2.4434 -2.3882 -2.6877 -2.7602 -2.7314 -2.7449 -2.5732 -2.3413 -2.3158 -2.5928 -2.6402 -2.6331 -2.5446 -2.5076 0.2241 -3897386.6854 
-25.5842 5.8438 11.1445 0.1451 69.4162 0.0203 0.2684 7.7387 0.0017 1.0153 0.0178 -2.4592 0.0500 7.9105 7.7794 7.7751 7.7458 7.7321 7.7341 7.7305 7.7021 7.7212 7.7421 7.6946 7.7235 7.7075 7.6940 7.6972 7.7308 1.4998 1.4598 0.8716 0.8773 0.9619 0.9695 0.9699 0.9764 0.9937 0.9691 0.9481 0.9684 0.9769 0.9757 0.9779 0.9597 -2.4560 -2.4430 -2.4434 -2.3882 -2.6870 -2.7602 -2.7243 -2.7449 -2.5732 -2.3413 -2.3110 -2.5910 -2.6402 -2.6331 -2.5446 -2.5076 0.2225 -3897388.0063 
